eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,32,W,"BAROUDI, Hassan",SYR,6-0 6-1,Golf Club ITF Tournament 2018,"TABET, Roey",LBN,TABET,Roey,"Beirut, Lebanon",10 Sep - 14 Sep 2018,Singles,Grade 5,Entry: DA,Clay,O,100297828,100282553
1.0,16,W,"LOUTFY, Omar",EGY,6-1 6-4,Golf Club ITF Tournament 2018,"TABET, Roey",LBN,TABET,Roey,"Beirut, Lebanon",10 Sep - 14 Sep 2018,Singles,Grade 5,Entry: DA,Clay,O,100316223,100282553
1.0,QF,W,"ALAZMEH, Taym",SYR,6-3 6-3,Golf Club ITF Tournament 2018,"TABET, Roey",LBN,TABET,Roey,"Beirut, Lebanon",10 Sep - 14 Sep 2018,Singles,Grade 5,Entry: DA,Clay,O,100279660,100282553
1.0,SF,W,"LUMBA, Eshaan",IND,6-3 6-0,Golf Club ITF Tournament 2018,"TABET, Roey",LBN,TABET,Roey,"Beirut, Lebanon",10 Sep - 14 Sep 2018,Singles,Grade 5,Entry: DA,Clay,O,100297462,100282553
1.0,FR,W,"KARIM, Yassin",EGY,6-1 6-2,Golf Club ITF Tournament 2018,"TABET, Roey",LBN,TABET,Roey,"Beirut, Lebanon",10 Sep - 14 Sep 2018,Singles,Grade 5,Entry: DA,Clay,O,100349070,100282553
2.0,Q1,W,"CEJOVIC, Slobodan",SRB,6-2 7-5,20th Serbia Junior Open Novi Sad 2018,"TABET, Roey",LBN,TABET,Roey,"Novi Sad, Serbia",03 Sep - 07 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100280214,100282553
2.0,Q2,W,"DROBNJAKOVIC, Mihajlo",SRB,6-3 1-6 6-2,20th Serbia Junior Open Novi Sad 2018,"TABET, Roey",LBN,TABET,Roey,"Novi Sad, Serbia",03 Sep - 07 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100205414,100282553
2.0,Q3,W,"ZUBAC , Dimitrije",SRB,6-3 6-4,20th Serbia Junior Open Novi Sad 2018,"TABET, Roey",LBN,TABET,Roey,"Novi Sad, Serbia",03 Sep - 07 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100259416,100282553
2.0,32,W,"ERHARD, Mathys",FRA,6-3 6-4,20th Serbia Junior Open Novi Sad 2018,"TABET, Roey",LBN,TABET,Roey,"Novi Sad, Serbia",03 Sep - 07 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100248354,100282553
2.0,16,W,"CUETO RAMOS, Javier",ESP,7-5 6-3,20th Serbia Junior Open Novi Sad 2018,"TABET, Roey",LBN,TABET,Roey,"Novi Sad, Serbia",03 Sep - 07 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100245903,100282553
2.0,QF,L,"MEDJEDOVIC, Hamad",SRB,0-6 6-4 2-6,20th Serbia Junior Open Novi Sad 2018,"TABET, Roey",LBN,TABET,Roey,"Novi Sad, Serbia",03 Sep - 07 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100272530,100282553
4.0,64,W,"FERREIRA, Joao",POR,6-0 6-2,Taça Diogo Napoles,"TABET, Roey",LBN,TABET,Roey,"Porto, Portugal",06 Aug - 12 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100304384,100282553
4.0,32,W,"ADONIS , Heber",POR,6-3 6-2,Taça Diogo Napoles,"TABET, Roey",LBN,TABET,Roey,"Porto, Portugal",06 Aug - 12 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100231338,100282553
4.0,16,L,"TORRES, Tiago",POR,1-6 6-4 2-6,Taça Diogo Napoles,"TABET, Roey",LBN,TABET,Roey,"Porto, Portugal",06 Aug - 12 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100280520,100282553
5.0,64,L,"GOMAR MONIO, Luis",ESP,4-6 2-6,XXIV International Junior de Leiria,"TABET, Roey",LBN,TABET,Roey,"Leiria, Portugal",30 Jul - 05 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100241865,100282553
6.0,16,W,"NAHAS, Sari Sam",FRA,4-6 6-0 6-1,Damour Country Club,"TABET, Roey",LBN,TABET,Roey,"Damour, Lebanon",08 May - 13 May 2018,Singles,Grade 5,Entry: DA,Clay,O,100316906,100282553
6.0,QF,W,"PHOTIADES, Photos",CYP,3-6 6-3 6-4,Damour Country Club,"TABET, Roey",LBN,TABET,Roey,"Damour, Lebanon",08 May - 13 May 2018,Singles,Grade 5,Entry: DA,Clay,O,100297414,100282553
6.0,SF,L,"SHELBAYH, Abedallah",JOR,3-6 6-3 4-6,Damour Country Club,"TABET, Roey",LBN,TABET,Roey,"Damour, Lebanon",08 May - 13 May 2018,Singles,Grade 5,Entry: DA,Clay,O,100276536,100282553
