eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,,,,,,Fergana Cup,"URINOV, Ibrokhimjon",UZB,URINOV,Ibrokhimjon,"Fergana, Uzbekistan",06 Aug - 11 Aug 2018,Singles,Grade 3,Entry: DA,Hard,O,,100256535
2.0,,,,,,NBU Cup,"URINOV, Ibrokhimjon",UZB,URINOV,Ibrokhimjon,"Tashkent, Uzbekistan",30 Jul - 04 Aug 2018,Singles,Grade 3,Entry: DA,Clay,O,,100256535
3.0,,,,,,Tashkent ITF Juniors,"URINOV, Ibrokhimjon",UZB,URINOV,Ibrokhimjon,"Tashkent, Uzbekistan",23 Jul - 28 Jul 2018,Singles,Grade 5,Entry: DA,Hard,O,,100256535
4.0,,,,,,Andijan ITF Juniors,"URINOV, Ibrokhimjon",UZB,URINOV,Ibrokhimjon,"Andijan, Uzbekistan",16 Jul - 21 Jul 2018,Singles,Grade 5,Entry: DA,Hard,O,,100256535
5.0,,,,,,Shymkent ITF International Junior Tournament,"URINOV, Ibrokhimjon",UZB,URINOV,Ibrokhimjon,"Shymkent, Kazakhstan",18 Jun - 23 Jun 2018,Singles,Grade 3,Entry: DA,Clay,O,,100256535
7.0,,,,,,Bishkek Open - 1,"URINOV, Ibrokhimjon",UZB,URINOV,Ibrokhimjon,"Bishkek, Kyrgyzstan",22 May - 26 May 2018,Singles,Grade 5,Entry: DA,Clay,O,,100256535
8.0,,,,,,22nd Namangan ITF Juniors Grade 3,"URINOV, Ibrokhimjon",UZB,URINOV,Ibrokhimjon,"Namangan, Uzbekistan",19 Mar - 24 Mar 2018,Singles,Grade 3,Entry: WC,Hard,O,,100256535
9.0,,,,,,38th Tashkent ITF Juniors Grade 2,"URINOV, Ibrokhimjon",UZB,URINOV,Ibrokhimjon,"Tashkent, Uzbekistan",12 Mar - 17 Mar 2018,Singles,Grade 2,Entry: WC,Hard,O,,100256535
10.0,,,,,,Shymkent Open,"URINOV, Ibrokhimjon",UZB,URINOV,Ibrokhimjon,"Shymkent, Kazakhstan",09 Oct - 14 Oct 2017,Singles,Grade 3,Entry: DA,Clay,O,,100256535
1.0,32,W,"BASIC, Nikola",CRO,7-5 5-7 6-3,Mostar Open 18&amp;U 2018,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Mostar, Bosnia/Herzegovina",18 Sep - 23 Sep 2018,Singles,Grade 4,Entry: DA,Clay,O,100251953,100224262
1.0,16,W,"FAJTA, Peter",HUN,6-4 6-4,Mostar Open 18&amp;U 2018,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Mostar, Bosnia/Herzegovina",18 Sep - 23 Sep 2018,Singles,Grade 4,Entry: DA,Clay,O,100236366,100224262
1.0,QF,,"SAMUEL, Toby",GBR,,Mostar Open 18&amp;U 2018,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Mostar, Bosnia/Herzegovina",18 Sep - 23 Sep 2018,Singles,Grade 4,Entry: DA,Clay,O,100252864,100224262
2.0,32,W,"MARTINEZ, Alex",ESP,6-4 6-0,20th Serbia Junior Open Novi Sad 2018,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Novi Sad, Serbia",03 Sep - 07 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100291142,100224262
2.0,16,L,"STROM, Gustaf",SWE,0-6 2-6,20th Serbia Junior Open Novi Sad 2018,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Novi Sad, Serbia",03 Sep - 07 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100226260,100224262
3.0,64,W,"ORSO, Alberto",ITA,6-3 7-6(4),23. Slovenian Junior Open 2018,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Domzale, Slovenia",28 Aug - 02 Sep 2018,Singles,Grade 4,Entry: DA,Clay,O,100251170,100224262
3.0,32,W,"CUCKA, Konstantin",GER,6-1 6-1,23. Slovenian Junior Open 2018,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Domzale, Slovenia",28 Aug - 02 Sep 2018,Singles,Grade 4,Entry: DA,Clay,O,100262925,100224262
3.0,16,W,"MATIC, Mile",CRO,6-2 6-7(4) 6-4,23. Slovenian Junior Open 2018,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Domzale, Slovenia",28 Aug - 02 Sep 2018,Singles,Grade 4,Entry: DA,Clay,O,100238284,100224262
3.0,QF,L,"DARDERI, Luciano",ITA,6-3 3-6 2-6,23. Slovenian Junior Open 2018,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Domzale, Slovenia",28 Aug - 02 Sep 2018,Singles,Grade 4,Entry: DA,Clay,O,100238364,100224262
4.0,64,W,"SUEVICH, Karlo",CRO,7-6(3) 6-3,AS Open,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Maribor, Slovenia",20 Aug - 25 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100179578,100224262
4.0,32,W,"ASAMER, Maximilian",AUT,2-0 RET,AS Open,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Maribor, Slovenia",20 Aug - 25 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100212131,100224262
4.0,16,W,"ASIC KOVAC, Tom",SLO,4-6 6-4 6-4,AS Open,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Maribor, Slovenia",20 Aug - 25 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100201352,100224262
4.0,QF,W,"FEKETE, Janos",SVK,6-3 6-1,AS Open,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Maribor, Slovenia",20 Aug - 25 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100238287,100224262
4.0,SF,L,"MISOLIC, Filip",AUT,4-6 6-7(7),AS Open,"PLANINSEK, Filip Jeff",SLO,PLANINSEK,Filip Jeff,"Maribor, Slovenia",20 Aug - 25 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100228554,100224262
