eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,32,W,"OLIVEIRA, Bruno",BRA,6-1 3-6 6-3,Alfa TI Cup 2,"TORSKI, Osman",GER,TORSKI,Osman,"Budapest, Hungary",28 Aug - 01 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100338433,100209204
1.0,16,L,"TACZALA, Dawid",POL,2-6 2-6,Alfa TI Cup 2,"TORSKI, Osman",GER,TORSKI,Osman,"Budapest, Hungary",28 Aug - 01 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100252405,100209204
2.0,32,W,"WANG, Xiaofei",CHN,6-4 0-6 6-4,Jugend Cup Renningen/Rutesheim,"TORSKI, Osman",GER,TORSKI,Osman,"Renningen, Germany",14 Aug - 18 Aug 2018,Singles,Grade 3,Entry: WC,Clay,O,100287475,100209204
2.0,16,W,"ZIVOTIC, Goran",SRB,6-3 7-5,Jugend Cup Renningen/Rutesheim,"TORSKI, Osman",GER,TORSKI,Osman,"Renningen, Germany",14 Aug - 18 Aug 2018,Singles,Grade 3,Entry: WC,Clay,O,100231514,100209204
2.0,QF,L,"COBOLLI, Flavio",ITA,3-6 0-6,Jugend Cup Renningen/Rutesheim,"TORSKI, Osman",GER,TORSKI,Osman,"Renningen, Germany",14 Aug - 18 Aug 2018,Singles,Grade 3,Entry: WC,Clay,O,100254431,100209204
3.0,32,W,"NOVIKOV, Egor",RUS,7-6(3) 6-1,FROMM Swiss Junior Trophy Sommer,"TORSKI, Osman",GER,TORSKI,Osman,"Oberentfelden, Switzerland",01 Aug - 05 Aug 2018,Singles,Grade 2,Entry: DA,Clay,O,100248403,100209204
3.0,16,L,"DROGUET, Titouan",FRA,6-7(5) 3-6,FROMM Swiss Junior Trophy Sommer,"TORSKI, Osman",GER,TORSKI,Osman,"Oberentfelden, Switzerland",01 Aug - 05 Aug 2018,Singles,Grade 2,Entry: DA,Clay,O,100225211,100209204
4.0,64,W,"VOROS, Mate",HUN,6-2 7-6(0),2018 European Junior Championships,"TORSKI, Osman",GER,TORSKI,Osman,"Klosters, Switzerland",23 Jul - 29 Jul 2018,Singles,Grade B1,Entry: DA,Clay,O,100232030,100209204
4.0,32,L,"PUSKAR, Samuel",SVK,3-6 6-3 5-7,2018 European Junior Championships,"TORSKI, Osman",GER,TORSKI,Osman,"Klosters, Switzerland",23 Jul - 29 Jul 2018,Singles,Grade B1,Entry: DA,Clay,O,100217135,100209204
5.0,32,W,"ROJAS, Olivier",BEL,6-1 7-6(5),NRW Junior Open 2018,"TORSKI, Osman",GER,TORSKI,Osman,"Moenchengladbach, Germany",16 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100232702,100209204
5.0,16,W,"LANGE, Sean Lennart",GER,6-4 6-0,NRW Junior Open 2018,"TORSKI, Osman",GER,TORSKI,Osman,"Moenchengladbach, Germany",16 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100225704,100209204
5.0,QF,W,"STRICKER, Dominic Stephan",SUI,6-2 6-7(1) 6-3,NRW Junior Open 2018,"TORSKI, Osman",GER,TORSKI,Osman,"Moenchengladbach, Germany",16 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100252640,100209204
5.0,SF,W,"GULIN, Svyatoslav",RUS,6-2 6-0,NRW Junior Open 2018,"TORSKI, Osman",GER,TORSKI,Osman,"Moenchengladbach, Germany",16 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100249788,100209204
5.0,FR,W,"KUENKLER, Fynn",GER,7-6(8) 7-5,NRW Junior Open 2018,"TORSKI, Osman",GER,TORSKI,Osman,"Moenchengladbach, Germany",16 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100225454,100209204
6.0,64,W,"TENSING, Filip",SWE,6-1 6-1,HEAD Cup Bruchköbel powered by Steinfeger Immobilien,"TORSKI, Osman",GER,TORSKI,Osman,"Bruchköbel, Germany",03 Jul - 08 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100225768,100209204
6.0,32,W,"TANNER, Gian Luca",SUI,6-3 6-3,HEAD Cup Bruchköbel powered by Steinfeger Immobilien,"TORSKI, Osman",GER,TORSKI,Osman,"Bruchköbel, Germany",03 Jul - 08 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100238986,100209204
6.0,16,W,"VELCZ, Zsombor",HUN,6-1 6-2,HEAD Cup Bruchköbel powered by Steinfeger Immobilien,"TORSKI, Osman",GER,TORSKI,Osman,"Bruchköbel, Germany",03 Jul - 08 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100259898,100209204
6.0,QF,W,"NEUMAYER, Lukas",AUT,6-3 6-1,HEAD Cup Bruchköbel powered by Steinfeger Immobilien,"TORSKI, Osman",GER,TORSKI,Osman,"Bruchköbel, Germany",03 Jul - 08 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100254287,100209204
6.0,SF,W,"KROLO, Filip",GER,6-3 6-1,HEAD Cup Bruchköbel powered by Steinfeger Immobilien,"TORSKI, Osman",GER,TORSKI,Osman,"Bruchköbel, Germany",03 Jul - 08 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100233173,100209204
6.0,FR,L,"DESCHAMPS, Allan",FRA,6-0 6-7(3) 2-6,HEAD Cup Bruchköbel powered by Steinfeger Immobilien,"TORSKI, Osman",GER,TORSKI,Osman,"Bruchköbel, Germany",03 Jul - 08 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100227916,100209204
7.0,32,L,"STROM, Gustaf",SWE,6-3 2-6 5-7,VAN DER VALK HOTEL GLADBECK Junior Cup powered by BABOLAT,"TORSKI, Osman",GER,TORSKI,Osman,"Gladbeck, Germany",25 Jun - 30 Jun 2018,Singles,Grade 2,Entry: WC,Clay,O,100226260,100209204
8.0,64,L,"MUSETTI, Lorenzo",ITA,2-6 1-6,Allianz Kundler German Juniors supported by OPTIMAL SYSTEMS,"TORSKI, Osman",GER,TORSKI,Osman,"Berlin, Germany",19 Jun - 24 Jun 2018,Singles,Grade 1,Entry: WC,Clay,O,100255913,100209204
9.0,64,W,"HEYNOLD, Benjamin",GBR,6-0 6-1,26th Internat. Nürnberger Versicherungs-ITF-Junior Tournament,"TORSKI, Osman",GER,TORSKI,Osman,"Offenbach, Germany",12 Jun - 17 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100232930,100209204
9.0,32,L,"MU, Tao",CHN,5-7 3-6,26th Internat. Nürnberger Versicherungs-ITF-Junior Tournament,"TORSKI, Osman",GER,TORSKI,Osman,"Offenbach, Germany",12 Jun - 17 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100271084,100209204
10.0,Q1,W,"TANNER, Gian Luca",SUI,6-1 6-0,Alfa TI Cup 1,"TORSKI, Osman",GER,TORSKI,Osman,"Budapest, Hungary",20 May - 21 May 2018,Singles,Grade 2,Entry: DA,Clay,O,100238986,100209204
10.0,Q2,L,"SHEVCHENKO, Alexander",RUS,2-6 RET,Alfa TI Cup 1,"TORSKI, Osman",GER,TORSKI,Osman,"Budapest, Hungary",20 May - 21 May 2018,Singles,Grade 2,Entry: DA,Clay,O,100199048,100209204
11.0,32,W,"BANCILA, Alex",USA,7-5 3-6 7-5,11th ETC Cup,"TORSKI, Osman",GER,TORSKI,Osman,"Budapest, Hungary",15 May - 20 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100238620,100209204
11.0,16,W,"CALDES, Jaime",ESP,7-6(4) 6-3,11th ETC Cup,"TORSKI, Osman",GER,TORSKI,Osman,"Budapest, Hungary",15 May - 20 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100262800,100209204
11.0,QF,W,"PRESUHN, Bastien",GER,3-6 6-3 1-0 RET,11th ETC Cup,"TORSKI, Osman",GER,TORSKI,Osman,"Budapest, Hungary",15 May - 20 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100206003,100209204
11.0,SF,L,"WISKANDT, Max",GER,1-6 6-3 1-6,11th ETC Cup,"TORSKI, Osman",GER,TORSKI,Osman,"Budapest, Hungary",15 May - 20 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100258634,100209204
12.0,32,W,"ROSSI, Geremia",SUI,6-3 6-0,VLTC San Michel,"TORSKI, Osman",GER,TORSKI,Osman,"Corradino, Malta",26 Mar - 31 Mar 2018,Singles,Grade 5,Entry: DA,Hard,O,100263100,100209204
12.0,16,W,"SAVVA , Stefanos",CYP,6-3 6-2,VLTC San Michel,"TORSKI, Osman",GER,TORSKI,Osman,"Corradino, Malta",26 Mar - 31 Mar 2018,Singles,Grade 5,Entry: DA,Hard,O,100226265,100209204
12.0,QF,W,"CHRISTIANSEN, Rudolf Niklas",GER,6-3 6-3,VLTC San Michel,"TORSKI, Osman",GER,TORSKI,Osman,"Corradino, Malta",26 Mar - 31 Mar 2018,Singles,Grade 5,Entry: DA,Hard,O,100245614,100209204
