eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,Q2,W,"DOWNEY, Daniel",AUS,4-6 6-2 6-0,Mapei Gold Coast Junior International,"CRNOKRAK, Alexander",AUS,CRNOKRAK,Alexander,"Gold Coast, Australia",18 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100302806,100235357
1.0,Q3,W,"JESSER, William",AUS,6-1 6-0,Mapei Gold Coast Junior International,"CRNOKRAK, Alexander",AUS,CRNOKRAK,Alexander,"Gold Coast, Australia",18 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100365626,100235357
1.0,32,W,"POLITIS, Peter",AUS,6-3 6-1,Mapei Gold Coast Junior International,"CRNOKRAK, Alexander",AUS,CRNOKRAK,Alexander,"Gold Coast, Australia",18 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100370807,100235357
1.0,16,W,"GU, Jin",CHN,6-2 6-2,Mapei Gold Coast Junior International,"CRNOKRAK, Alexander",AUS,CRNOKRAK,Alexander,"Gold Coast, Australia",18 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100307739,100235357
1.0,QF,W,"SWEENY, Dane",AUS,6-4 6-1,Mapei Gold Coast Junior International,"CRNOKRAK, Alexander",AUS,CRNOKRAK,Alexander,"Gold Coast, Australia",18 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100236260,100235357
1.0,SF,W,"SCHOOLKATE, Tristan",AUS,6-4 6-3,Mapei Gold Coast Junior International,"CRNOKRAK, Alexander",AUS,CRNOKRAK,Alexander,"Gold Coast, Australia",18 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100259233,100235357
1.0,FR,W,"EVANS, Tom",AUS,6-4 6-2,Mapei Gold Coast Junior International,"CRNOKRAK, Alexander",AUS,CRNOKRAK,Alexander,"Gold Coast, Australia",18 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100306146,100235357
2.0,Q2,W,"PADGHAM, Eric",AUS,6-1 6-0,Rod Laver Queensland Junior Championships,"CRNOKRAK, Alexander",AUS,CRNOKRAK,Alexander,"Tennyson, Australia",11 Jul - 15 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100343276,100235357
2.0,Q3,W,"SHEPP, Anton",NZL,6-0 6-2,Rod Laver Queensland Junior Championships,"CRNOKRAK, Alexander",AUS,CRNOKRAK,Alexander,"Tennyson, Australia",11 Jul - 15 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100346619,100235357
2.0,32,W,"SASAGAWA, Jun",AUS,6-1 6-1,Rod Laver Queensland Junior Championships,"CRNOKRAK, Alexander",AUS,CRNOKRAK,Alexander,"Tennyson, Australia",11 Jul - 15 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100330182,100235357
