eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,32,W,"HOXHIQ, Nermin",ALB,6-1 6-0,Jug Open 2018,"KEREMEDCHIEV, Ivailo",BUL,KEREMEDCHIEV,Ivailo,"Skopje, Former Yugoslav Republic Of Macedonia",20 Aug - 26 Aug 2018,Singles,Grade 5,Entry: DA,Clay,O,100212135,100206441
1.0,16,W,"DIMITROV, Vasil",BUL,7-5 6-3,Jug Open 2018,"KEREMEDCHIEV, Ivailo",BUL,KEREMEDCHIEV,Ivailo,"Skopje, Former Yugoslav Republic Of Macedonia",20 Aug - 26 Aug 2018,Singles,Grade 5,Entry: DA,Clay,O,100256176,100206441
1.0,QF,W,"KORTENHOF, Stephan",AUT,6-3 7-5,Jug Open 2018,"KEREMEDCHIEV, Ivailo",BUL,KEREMEDCHIEV,Ivailo,"Skopje, Former Yugoslav Republic Of Macedonia",20 Aug - 26 Aug 2018,Singles,Grade 5,Entry: DA,Clay,O,100309895,100206441
1.0,SF,L,"HALLQUIST LITHEN, John",SWE,4-6 0-6,Jug Open 2018,"KEREMEDCHIEV, Ivailo",BUL,KEREMEDCHIEV,Ivailo,"Skopje, Former Yugoslav Republic Of Macedonia",20 Aug - 26 Aug 2018,Singles,Grade 5,Entry: DA,Clay,O,100248594,100206441
2.0,32,W,"RADONJANIN, Vedran",MKD,6-0 6-2,Neocom Open 2018,"KEREMEDCHIEV, Ivailo",BUL,KEREMEDCHIEV,Ivailo,"Skopje, Former Yugoslav Republic Of Macedonia",13 Aug - 19 Aug 2018,Singles,Grade 5,Entry: DA,Clay,O,100257962,100206441
2.0,16,W,"PARIGI , Alessandro",ITA,6-0 6-2,Neocom Open 2018,"KEREMEDCHIEV, Ivailo",BUL,KEREMEDCHIEV,Ivailo,"Skopje, Former Yugoslav Republic Of Macedonia",13 Aug - 19 Aug 2018,Singles,Grade 5,Entry: DA,Clay,O,100247568,100206441
2.0,QF,W,"BOSSEM, Sam",GBR,6-0 6-0,Neocom Open 2018,"KEREMEDCHIEV, Ivailo",BUL,KEREMEDCHIEV,Ivailo,"Skopje, Former Yugoslav Republic Of Macedonia",13 Aug - 19 Aug 2018,Singles,Grade 5,Entry: DA,Clay,O,100293422,100206441
2.0,SF,W,"DIMITROV, Vasil",BUL,6-2 6-2,Neocom Open 2018,"KEREMEDCHIEV, Ivailo",BUL,KEREMEDCHIEV,Ivailo,"Skopje, Former Yugoslav Republic Of Macedonia",13 Aug - 19 Aug 2018,Singles,Grade 5,Entry: DA,Clay,O,100256176,100206441
2.0,FR,W,"KORTENHOF, Stephan",AUT,7-6(5) 6-3,Neocom Open 2018,"KEREMEDCHIEV, Ivailo",BUL,KEREMEDCHIEV,Ivailo,"Skopje, Former Yugoslav Republic Of Macedonia",13 Aug - 19 Aug 2018,Singles,Grade 5,Entry: DA,Clay,O,100309895,100206441
3.0,32,W,"TRIANTAFYLLOU, Daniel",GRE,7-6(4) 6-1,Dema Cup,"KEREMEDCHIEV, Ivailo",BUL,KEREMEDCHIEV,Ivailo,"Sofia, Bulgaria",06 Aug - 10 Aug 2018,Singles,Grade 5,Entry: DA,Clay,O,100237959,100206441
