eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,64,W,"VIRTANEN, Otto",FIN,7-6(9) 6-1,Les Internationaux de Tennis Junior Banque Nationale du Canada,"TORTORA, Davide",ITA,TORTORA,Davide,"Repentigny, Canada",26 Aug - 01 Sep 2018,Singles,Grade 1,Entry: DA,Hard,O,100223021,100233990
1.0,32,L,"DIAZ ACOSTA, Facundo",ARG,5-7 3-6,Les Internationaux de Tennis Junior Banque Nationale du Canada,"TORTORA, Davide",ITA,TORTORA,Davide,"Repentigny, Canada",26 Aug - 01 Sep 2018,Singles,Grade 1,Entry: DA,Hard,O,100329088,100233990
2.0,Q1,L,"LEE, Alexander",USA,1-6 5-7,US Open Junior Tennis Championships,"TORTORA, Davide",ITA,TORTORA,Davide,"New York, USA",31 Aug - 01 Sep 2018,Singles,Grade A,Entry: DA,Hard,O,100327558,100233990
3.0,Q1,L,"ICHIKAWA, Taisei",JPN,3-6 6-1 5-7,"The Junior Championships, Wimbledon","TORTORA, Davide",ITA,TORTORA,Davide,"Wimbledon, Great Britain",05 Jul - 06 Jul 2018,Singles,Grade A,Entry: DA,Grass,O,100263724,100233990
4.0,Q1,L,"MACLEAN, Tad",GBR,6-3 6-7(8) 5-7,Junior International Roehampton,"TORTORA, Davide",ITA,TORTORA,Davide,"Roehampton, Great Britain",29 Jun - 30 Jun 2018,Singles,Grade 1,Entry: DA,Grass,O,100329973,100233990
5.0,Q1,W,"FEARNLEY, Jacob",GBR,6-1 6-2,Roland Garros Junior French Championships,"TORTORA, Davide",ITA,TORTORA,Davide,"Paris, France",31 May - 01 Jun 2018,Singles,Grade A,Entry: DA,Clay,O,100248589,100233990
5.0,Q2,L,"ALVES, Mateus",BRA,4-6 4-6,Roland Garros Junior French Championships,"TORTORA, Davide",ITA,TORTORA,Davide,"Paris, France",31 May - 01 Jun 2018,Singles,Grade A,Entry: DA,Clay,O,100297504,100233990
6.0,64,L,"TSENG, Chun Hsin",TPE,1-6 0-6,59th Trofeo Bonfiglio - Campionati Internazionali d'Italia Juniores,"TORTORA, Davide",ITA,TORTORA,Davide,"Milan, Italy",21 May - 27 May 2018,Singles,Grade A,Entry: WC,Clay,O,100274778,100233990
7.0,64,W,"CRONJE, Lleyton",RSA,3-6 6-3 6-0,"40th Torneo ""Città Di Santa Croce"" Mauro Sabatini","TORTORA, Davide",ITA,TORTORA,Davide,"Santa Croce, Italy",14 May - 19 May 2018,Singles,Grade 1,Entry: DA,Clay,O,100205107,100233990
7.0,32,W,"NAVA, Emilio",USA,7-6(1) 2-6 6-4,"40th Torneo ""Città Di Santa Croce"" Mauro Sabatini","TORTORA, Davide",ITA,TORTORA,Davide,"Santa Croce, Italy",14 May - 19 May 2018,Singles,Grade 1,Entry: DA,Clay,O,100327421,100233990
7.0,16,L,"CERUNDOLO, Juan Manuel",ARG,5-7 2-6,"40th Torneo ""Città Di Santa Croce"" Mauro Sabatini","TORTORA, Davide",ITA,TORTORA,Davide,"Santa Croce, Italy",14 May - 19 May 2018,Singles,Grade 1,Entry: DA,Clay,O,100288982,100233990
8.0,32,W,"FERRARI , Gianmarco",ITA,3-6 6-4 6-4,35th Torneo Bayer di Salsomaggiore Terme		,"TORTORA, Davide",ITA,TORTORA,Davide,"Salsomaggiore Terme, Italy",30 Apr - 06 May 2018,Singles,Grade 2,Entry: DA,Clay,O,100306872,100233990
8.0,16,L,"NARDI , Luca",ITA,6-2 4-6 0-6,35th Torneo Bayer di Salsomaggiore Terme		,"TORTORA, Davide",ITA,TORTORA,Davide,"Salsomaggiore Terme, Italy",30 Apr - 06 May 2018,Singles,Grade 2,Entry: DA,Clay,O,100276778,100233990
