eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,32,W,"COULIBALY, Eliakim",CIV,6-3 6-1,Smash Academy  ITF Junior Tournament,"RODRIGUES, Natan",BRA,RODRIGUES,Natan,"Cairo, Egypt",10 Sep - 14 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100331635,100312706
1.0,16,L,"CENGIZ, Baran",TUR,5-7 3-6,Smash Academy  ITF Junior Tournament,"RODRIGUES, Natan",BRA,RODRIGUES,Natan,"Cairo, Egypt",10 Sep - 14 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100213559,100312706
2.0,32,W,"IONEL, Nicholas David",ROU,6-2 6-0,Al-Solaimaneyah ITF Junior Tournament,"RODRIGUES, Natan",BRA,RODRIGUES,Natan,"Cairo, Egypt",03 Sep - 07 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100245686,100312706
2.0,16,L,"MOCHIZUKI, Shintaro",JPN,5-7 1-6,Al-Solaimaneyah ITF Junior Tournament,"RODRIGUES, Natan",BRA,RODRIGUES,Natan,"Cairo, Egypt",03 Sep - 07 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100330690,100312706
3.0,32,W,"VOROS, Mate",HUN,6-3 6-2,Alfa TI Cup 2,"RODRIGUES, Natan",BRA,RODRIGUES,Natan,"Budapest, Hungary",28 Aug - 01 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100232030,100312706
3.0,16,W,"WISKANDT, Max",GER,6-0 7-6(6),Alfa TI Cup 2,"RODRIGUES, Natan",BRA,RODRIGUES,Natan,"Budapest, Hungary",28 Aug - 01 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100258634,100312706
3.0,QF,W,"VON DER SCHULENBURG, Jeffrey",SUI,7-6(3) 6-1,Alfa TI Cup 2,"RODRIGUES, Natan",BRA,RODRIGUES,Natan,"Budapest, Hungary",28 Aug - 01 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100249672,100312706
3.0,SF,L,"CALDES, Jaime",ESP,6-7(5) 3-6,Alfa TI Cup 2,"RODRIGUES, Natan",BRA,RODRIGUES,Natan,"Budapest, Hungary",28 Aug - 01 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100262800,100312706
4.0,32,W,"HORVAT, Roko",CRO,6-4 6-4,Budaors Cup,"RODRIGUES, Natan",BRA,RODRIGUES,Natan,"Budaors, Hungary",21 Aug - 25 Aug 2018,Singles,Grade 2,Entry: DA,Clay,O,100250751,100312706
4.0,16,W,"MRSIC, Luka",AUT,6-3 3-6 6-1,Budaors Cup,"RODRIGUES, Natan",BRA,RODRIGUES,Natan,"Budaors, Hungary",21 Aug - 25 Aug 2018,Singles,Grade 2,Entry: DA,Clay,O,100207887,100312706
