eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,32,W,"LIU, Shaoyun",CHN,5-7 7-6(7) 7-5,China Junior 8,"KIM, Geun Jun",KOR,KIM,Geun Jun,"Beijing, China, P.R.",08 May - 12 May 2018,Singles,Grade 3,Entry: DA,Hard,O,100289494,100279200
1.0,16,W,"SAKAGAWA, Hiroki",JPN,6-2 6-2,China Junior 8,"KIM, Geun Jun",KOR,KIM,Geun Jun,"Beijing, China, P.R.",08 May - 12 May 2018,Singles,Grade 3,Entry: DA,Hard,O,100285673,100279200
1.0,QF,L,"YUNCHAOKETE, Bu",CHN,1-6 3-5 RET,China Junior 8,"KIM, Geun Jun",KOR,KIM,Geun Jun,"Beijing, China, P.R.",08 May - 12 May 2018,Singles,Grade 3,Entry: DA,Hard,O,100287473,100279200
2.0,64,W,"XIAO, Xiao",CHN,6-1 2-0 RET,China Junior 7,"KIM, Geun Jun",KOR,KIM,Geun Jun,"Beijing, China, P.R.",01 May - 06 May 2018,Singles,Grade 4,Entry: DA,Hard,O,100346099,100279200
2.0,32,W,"ZHU, Yang",CHN,6-4 6-2,China Junior 7,"KIM, Geun Jun",KOR,KIM,Geun Jun,"Beijing, China, P.R.",01 May - 06 May 2018,Singles,Grade 4,Entry: DA,Hard,O,100323395,100279200
2.0,16,W,"ZHENG, Yanjie",CHN,1-6 6-4 7-6(6),China Junior 7,"KIM, Geun Jun",KOR,KIM,Geun Jun,"Beijing, China, P.R.",01 May - 06 May 2018,Singles,Grade 4,Entry: DA,Hard,O,100288786,100279200
2.0,QF,W,"MITSUI, Shunsuke",JPN,7-6(4) 4-6 6-4,China Junior 7,"KIM, Geun Jun",KOR,KIM,Geun Jun,"Beijing, China, P.R.",01 May - 06 May 2018,Singles,Grade 4,Entry: DA,Hard,O,100311463,100279200
2.0,SF,L,"YOSHINO, Fumiya",JPN,1-6 6-4 6-7(2),China Junior 7,"KIM, Geun Jun",KOR,KIM,Geun Jun,"Beijing, China, P.R.",01 May - 06 May 2018,Singles,Grade 4,Entry: DA,Hard,O,100268202,100279200
3.0,64,W,"KIM, gun hyoung",KOR,6-1 6-1,2018  Yeongwol International Junior Championships,"KIM, Geun Jun",KOR,KIM,Geun Jun,"Yeongwol, Korea, Rep.",09 Apr - 15 Apr 2018,Singles,Grade 5,Entry: DA,Hard,O,100329618,100279200
3.0,32,W,"KIM, Jun Seo",KOR,6-3 6-1,2018  Yeongwol International Junior Championships,"KIM, Geun Jun",KOR,KIM,Geun Jun,"Yeongwol, Korea, Rep.",09 Apr - 15 Apr 2018,Singles,Grade 5,Entry: DA,Hard,O,100291718,100279200
