eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,32,W,"DONG, Bohua",CHN,4-0 RET,China Junior 12,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Shanghai, China, P.R.",03 Jul - 07 Jul 2018,Singles,Grade 2,Entry: DA,Hard,I,100313555,100271697
1.0,16,L,"PANTINO, Arthur Craig",PHI,5-7 3-6,China Junior 12,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Shanghai, China, P.R.",03 Jul - 07 Jul 2018,Singles,Grade 2,Entry: DA,Hard,I,100279540,100271697
2.0,32,W,"ZENG, Yaojie",CHN,6-4 6-4,PTT - ITF Junior Grade 4 (week 2),"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nonthaburi, Thailand",25 Jun - 30 Jun 2018,Singles,Grade 4,Entry: DA,Hard,O,100311383,100271697
2.0,16,L,"NOIKOR, Noppadol",THA,4-6 6-2 4-6,PTT - ITF Junior Grade 4 (week 2),"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nonthaburi, Thailand",25 Jun - 30 Jun 2018,Singles,Grade 4,Entry: DA,Hard,O,100288010,100271697
3.0,64,L,"MITSUI, Shunsuke",JPN,6-7(5) 5-7,31st Sarawak Chief Minister's Cup (I) ITF Junior Tennis Championship (Grade 1),"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Sarawak, Malaysia",13 Mar - 18 Mar 2018,Singles,Grade 1,Entry: DA,Hard,O,100311463,100271697
4.0,64,W,"MATSUSHITA, Ryoma",JPN,5-7 6-1 7-6(4),PTT -  ITF Junior Grade 1		,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nonthaburi, Thailand",05 Mar - 10 Mar 2018,Singles,Grade 1,Entry: DA,Hard,O,100279062,100271697
4.0,32,L,"SWEENY, Dane",AUS,3-6 0-6,PTT -  ITF Junior Grade 1		,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nonthaburi, Thailand",05 Mar - 10 Mar 2018,Singles,Grade 1,Entry: DA,Hard,O,100236260,100271697
5.0,32,W,"SONG , Woodam",KOR,6-0 6-1,Tennis Cambodia ITF Junior 2018 I,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Phnom Penh, Cambodia",19 Feb - 24 Feb 2018,Singles,Grade 5,Entry: DA,Hard,O,100276813,100271697
5.0,16,W,"MATSUBAYASHI, Nowa",JPN,6-0 6-0,Tennis Cambodia ITF Junior 2018 I,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Phnom Penh, Cambodia",19 Feb - 24 Feb 2018,Singles,Grade 5,Entry: DA,Hard,O,100323196,100271697
5.0,QF,W,"SUKSUMRARN, Thantub",THA,7-6(3) 6-2,Tennis Cambodia ITF Junior 2018 I,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Phnom Penh, Cambodia",19 Feb - 24 Feb 2018,Singles,Grade 5,Entry: DA,Hard,O,100303379,100271697
5.0,SF,W,"ZHOU, Xian Yao",CHN,6-1 6-3,Tennis Cambodia ITF Junior 2018 I,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Phnom Penh, Cambodia",19 Feb - 24 Feb 2018,Singles,Grade 5,Entry: DA,Hard,O,100283167,100271697
5.0,FR,W,"MATSUSHITA, Ryoma",JPN,5-7 6-3 6-3,Tennis Cambodia ITF Junior 2018 I,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Phnom Penh, Cambodia",19 Feb - 24 Feb 2018,Singles,Grade 5,Entry: DA,Hard,O,100279062,100271697
6.0,32,W,"DONG, Bohua",CHN,4-6 6-1 7-5,China Junior 4,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Shenzhen, China, P.R.",06 Feb - 10 Feb 2018,Singles,Grade 3,Entry: DA,Hard,O,100313555,100271697
6.0,16,L,"KAWANO , Kai",JPN,5-7 2-6,China Junior 4,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Shenzhen, China, P.R.",06 Feb - 10 Feb 2018,Singles,Grade 3,Entry: DA,Hard,O,100262669,100271697
7.0,64,W,"HYUN, JiWoong",KOR,6-2 7-6(4),2017 Seogwipo Asia/Oceania Closed Junior Championships (B1),"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Seogwipo, Korea, Rep.",06 Nov - 12 Nov 2017,Singles,Grade B1,Entry: DA,Hard,O,100303548,100271697
7.0,32,L,"MU, Tao",CHN,1-6 3-6,2017 Seogwipo Asia/Oceania Closed Junior Championships (B1),"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Seogwipo, Korea, Rep.",06 Nov - 12 Nov 2017,Singles,Grade B1,Entry: DA,Hard,O,100271084,100271697
8.0,32,W,"ANDERSSON, Oliver",SWE,6-7(5) 6-3 6-3,PTT - ITF Junior Grade 4,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nonthaburi, Thailand",23 Oct - 28 Oct 2017,Singles,Grade 4,Entry: DA,Hard,O,100248023,100271697
8.0,16,W,"BANTHIA, Siddhant",IND,4-6 6-4 6-4,PTT - ITF Junior Grade 4,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nonthaburi, Thailand",23 Oct - 28 Oct 2017,Singles,Grade 4,Entry: DA,Hard,O,100260749,100271697
8.0,QF,W,"SUKSUMRARN, Thantub",THA,6-2 4-6 6-4,PTT - ITF Junior Grade 4,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nonthaburi, Thailand",23 Oct - 28 Oct 2017,Singles,Grade 4,Entry: DA,Hard,O,100303379,100271697
8.0,SF,W,"HOEYERAAL, Herman",NOR,6-3 6-2,PTT - ITF Junior Grade 4,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nonthaburi, Thailand",23 Oct - 28 Oct 2017,Singles,Grade 4,Entry: DA,Hard,O,100225254,100271697
8.0,FR,L,"NGUYEN, Phuong Van",VIE,6-1 2-6 5-7,PTT - ITF Junior Grade 4,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nonthaburi, Thailand",23 Oct - 28 Oct 2017,Singles,Grade 4,Entry: DA,Hard,O,100276046,100271697
9.0,64,W,"ALTHAF DHAIFULLAH, Muhammad",INA,6-0 7-6(8),PTT - ITF Junior Grade 2,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nonthaburi, Thailand",16 Oct - 21 Oct 2017,Singles,Grade 2,Entry: DA,Hard,O,100283005,100271697
9.0,32,W,"SISAM, Macsen",NZL,7-6(8) 6-1,PTT - ITF Junior Grade 2,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nonthaburi, Thailand",16 Oct - 21 Oct 2017,Singles,Grade 2,Entry: DA,Hard,O,100234290,100271697
9.0,16,W,"FOMIN, Sergey",UZB,2-6 7-6(3) 6-2,PTT - ITF Junior Grade 2,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nonthaburi, Thailand",16 Oct - 21 Oct 2017,Singles,Grade 2,Entry: DA,Hard,O,100232794,100271697
9.0,QF,L,"HO, Ray",TPE,6-4 3-6 2-6,PTT - ITF Junior Grade 2,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nonthaburi, Thailand",16 Oct - 21 Oct 2017,Singles,Grade 2,Entry: DA,Hard,O,100252540,100271697
10.0,64,W,"AHMAD FARID, Danial",MAS,6-4 6-1,30th Sarawak Chief Minister's Cup (II) ITF Junior Circuit (Grade 3),"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Sarawak, Malaysia",10 Oct - 15 Oct 2017,Singles,Grade 3,Entry: DA,Hard,O,100279347,100271697
10.0,32,L,"HELLUM LILLEENGEN, Lukas",NOR,2-6 6-4 1-6,30th Sarawak Chief Minister's Cup (II) ITF Junior Circuit (Grade 3),"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Sarawak, Malaysia",10 Oct - 15 Oct 2017,Singles,Grade 3,Entry: DA,Hard,O,100209082,100271697
11.0,32,L,"MU, Tao",CHN,2-6 1-6,China Junior 16 - Grade 2,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Beijing, China, P.R.",26 Sep - 30 Sep 2017,Singles,Grade 2,Entry: DA,Hard,O,100271084,100271697
12.0,32,L,"ZHENG, Yanjie",CHN,6-7(2) 4-6,China Junior 15 Guangzhou,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Guangzhou, China, P.R.",19 Sep - 23 Sep 2017,Singles,Grade 3,Entry: DA,Hard,O,100288786,100271697
13.0,64,L,"WU, Yuchen",CHN,1-6 2-6,China Junior 14,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Nanjing, China, P.R.",01 Aug - 06 Aug 2017,Singles,Grade 1,Entry: DA,Hard,O,100237269,100271697
14.0,64,W,"SIMBOLON, Jose",INA,6-0 6-0,Thamrin International Junior Championships 2017,"CHAROENPHON, Yuttana",THA,CHAROENPHON,Yuttana,"Jakarta, Indonesia",18 Jul - 23 Jul 2017,Singles,Grade 4,Entry: DA,Hard,O,100331176,100271697
