eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
2.0,64,L,"ARNABOLDI, Federico",ITA,3-6 2-6,"40th Torneo ""Città Di Santa Croce"" Mauro Sabatini","NOSKIN, Egor",RUS,NOSKIN,Egor,"Santa Croce, Italy",14 May - 19 May 2018,Singles,Grade 1,Entry: DA,Clay,O,100202773,100203126
3.0,32,L,"LORENS , Mikolaj",POL,1-6 6-1 5-7,Ozerov Cup,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Ryazan, Russia",07 May - 12 May 2018,Singles,Grade 2,Entry: DA,Clay,O,100234469,100203126
4.0,32,L,"VIRTANEN, Otto",FIN,6-2 3-6 4-6,Plovdiv Cup,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Plovdiv, Bulgaria",17 Apr - 21 Apr 2018,Singles,Grade 2,Entry: DA,Clay,O,100223021,100203126
5.0,32,L,"DICA , Nini Gabriel",ROU,3-6 6-7(3),Haskovo Cup 2018,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Haskovo, Bulgaria",10 Apr - 14 Apr 2018,Singles,Grade 2,Entry: DA,Clay,O,100214225,100203126
6.0,32,W,"SENGUL, Bora",TUR,7-6(3) 6-1,38th Tashkent ITF Juniors Grade 2,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Tashkent, Uzbekistan",12 Mar - 17 Mar 2018,Singles,Grade 2,Entry: DA,Hard,O,100219567,100203126
6.0,16,W,"GINAT, Roi",ISR,5-7 6-1 6-0,38th Tashkent ITF Juniors Grade 2,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Tashkent, Uzbekistan",12 Mar - 17 Mar 2018,Singles,Grade 2,Entry: DA,Hard,O,100255287,100203126
6.0,QF,W,"KACHMAZOV, Alibek",RUS,7-5 6-4,38th Tashkent ITF Juniors Grade 2,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Tashkent, Uzbekistan",12 Mar - 17 Mar 2018,Singles,Grade 2,Entry: DA,Hard,O,100236282,100203126
6.0,SF,L,"BOVY, Arnaud",BEL,0-6 1-6,38th Tashkent ITF Juniors Grade 2,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Tashkent, Uzbekistan",12 Mar - 17 Mar 2018,Singles,Grade 2,Entry: DA,Hard,O,100206746,100203126
7.0,32,W,"ZAKHAROV, Danila",RUS,6-2 6-2,Almetyevsk Cup,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Almetievsk, Russia",26 Feb - 03 Mar 2018,Singles,Grade 3,Entry: DA,Hard,I,100291491,100203126
7.0,16,L,"BOSIO, Gabriele",ITA,W/O,Almetyevsk Cup,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Almetievsk, Russia",26 Feb - 03 Mar 2018,Singles,Grade 3,Entry: DA,Hard,I,100206630,100203126
8.0,32,W,"SAROUK, Yair",ISR,7-6(1) 6-2,Yeltsin Cup,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Kazan, Russia",20 Feb - 25 Feb 2018,Singles,Grade 1,Entry: DA,Hard,I,100251526,100203126
8.0,16,W,"PALAN, Dominik",CZE,6-4 6-3,Yeltsin Cup,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Kazan, Russia",20 Feb - 25 Feb 2018,Singles,Grade 1,Entry: DA,Hard,I,100204526,100203126
8.0,QF,L,"ERHARD, Mathys",FRA,6-7(1) 4-6,Yeltsin Cup,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Kazan, Russia",20 Feb - 25 Feb 2018,Singles,Grade 1,Entry: DA,Hard,I,100248354,100203126
9.0,32,W,"ANSELMO, Baptiste",FRA,7-6(5) 3-6 6-4,RPM Junior Open 2018,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Prague West, Czech Republic",15 Jan - 21 Jan 2018,Singles,Grade 1,Entry: DA,Carpet,I,100245915,100203126
9.0,16,L,"WASSERMANN, Deney",NED,4-6 3-6,RPM Junior Open 2018,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Prague West, Czech Republic",15 Jan - 21 Jan 2018,Singles,Grade 1,Entry: DA,Carpet,I,100256175,100203126
10.0,32,W,"CAZAUX, Arthur",FRA,6-1 1-6 6-2,HAP International Junior Tournament,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Haifa, Israel",13 Nov - 18 Nov 2017,Singles,Grade 2,Entry: DA,Hard,O,100254266,100203126
10.0,16,L,"DE JONG, Jesper",NED,1-6 6-4 4-6,HAP International Junior Tournament,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Haifa, Israel",13 Nov - 18 Nov 2017,Singles,Grade 2,Entry: DA,Hard,O,100235115,100203126
11.0,32,W,"SPEZIALI , Filippo",ITA,6-0 6-3,Matan Gafniel Raanana Open,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Raanana, Israel",06 Nov - 11 Nov 2017,Singles,Grade 2,Entry: DA,Hard,O,100198015,100203126
11.0,16,W,"KALENDER, Admir",CRO,3-6 6-3 6-4,Matan Gafniel Raanana Open,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Raanana, Israel",06 Nov - 11 Nov 2017,Singles,Grade 2,Entry: DA,Hard,O,100251476,100203126
11.0,QF,L,"EREL, Yanki",TUR,4-6 3-6,Matan Gafniel Raanana Open,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Raanana, Israel",06 Nov - 11 Nov 2017,Singles,Grade 2,Entry: DA,Hard,O,100226750,100203126
12.0,32,W,"PAK, Rodion",KAZ,7-5 6-0,Siberian Open,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Novokuznetsk, Russia",30 Oct - 04 Nov 2017,Singles,Grade 3,Entry: DA,Hard,I,100238297,100203126
12.0,16,W,"KACHMAZOV, Alibek",RUS,7-5 6-4,Siberian Open,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Novokuznetsk, Russia",30 Oct - 04 Nov 2017,Singles,Grade 3,Entry: DA,Hard,I,100236282,100203126
12.0,QF,W,"SHROLIK, Igor",RUS,7-5 4-6 6-3,Siberian Open,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Novokuznetsk, Russia",30 Oct - 04 Nov 2017,Singles,Grade 3,Entry: DA,Hard,I,100233520,100203126
12.0,SF,L,"DANILOV, Savriyan",RUS,3-6 6-7(2),Siberian Open,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Novokuznetsk, Russia",30 Oct - 04 Nov 2017,Singles,Grade 3,Entry: DA,Hard,I,100221058,100203126
13.0,32,L,"WASSERMANN, Deney",NED,1-6 5-7,16º Torneo Internacional Junior de Sanxenxo - Fuente Liviana,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Sanxenxo, Spain",17 Oct - 22 Oct 2017,Singles,Grade 2,Entry: DA,Hard,O,100256175,100203126
14.0,32,W,"IZQUIERDO LUQUE, Rafael",ESP,6-0 6-2,6º Torneo Internacional Junior de Pontevedra,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Pontevedra, Spain",10 Oct - 15 Oct 2017,Singles,Grade 2,Entry: DA,Hard,O,100204918,100203126
14.0,16,W,"KRAVCHENKO, Georgii",UKR,6-4 6-3,6º Torneo Internacional Junior de Pontevedra,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Pontevedra, Spain",10 Oct - 15 Oct 2017,Singles,Grade 2,Entry: DA,Hard,O,100192938,100203126
14.0,QF,L,"TABUR, Clement",FRA,2-6 2-6,6º Torneo Internacional Junior de Pontevedra,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Pontevedra, Spain",10 Oct - 15 Oct 2017,Singles,Grade 2,Entry: DA,Hard,O,100198334,100203126
15.0,32,W,"NG, Ki Lung",HKG,7-5 6-1,19th Serbia Junior Open Novi Sad 2017,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Novi Sad, Serbia",04 Sep - 08 Sep 2017,Singles,Grade 2,Entry: DA,Clay,O,100241081,100203126
15.0,16,W,"BENCIC, Brian",SUI,7-6(3) 6-4,19th Serbia Junior Open Novi Sad 2017,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Novi Sad, Serbia",04 Sep - 08 Sep 2017,Singles,Grade 2,Entry: DA,Clay,O,100180206,100203126
15.0,QF,L,"DICA , Nini Gabriel",ROU,5-7 3-6,19th Serbia Junior Open Novi Sad 2017,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Novi Sad, Serbia",04 Sep - 08 Sep 2017,Singles,Grade 2,Entry: DA,Clay,O,100214225,100203126
16.0,32,W,"PAVLOVIC, Andrija",SRB,6-3 6-4,Pancevo International 2017,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Pancevo, Serbia",29 Aug - 02 Sep 2017,Singles,Grade 2,Entry: DA,Clay,O,100228729,100203126
16.0,16,W,"BISTON, Tom",FRA,6-2 6-0,Pancevo International 2017,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Pancevo, Serbia",29 Aug - 02 Sep 2017,Singles,Grade 2,Entry: DA,Clay,O,100245197,100203126
16.0,QF,L,"PAULSON, Andrew",CZE,2-6 6-4 5-7,Pancevo International 2017,"NOSKIN, Egor",RUS,NOSKIN,Egor,"Pancevo, Serbia",29 Aug - 02 Sep 2017,Singles,Grade 2,Entry: DA,Clay,O,100227059,100203126
