eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,64,L,"ZINK, Tyler",USA,4-6 2-6,"40th Torneo ""Città Di Santa Croce"" Mauro Sabatini","COLAS SANCHEZ, Alberto",ESP,COLAS SANCHEZ,Alberto,"Santa Croce, Italy",14 May - 19 May 2018,Singles,Grade 1,Entry: DA,Clay,O,100295240,100235492
2.0,32,W,"BENCHAKROUN, Aissa",MAR,7-5 6-0,Mediterranée Avenir,"COLAS SANCHEZ, Alberto",ESP,COLAS SANCHEZ,Alberto,"Casablanca, Morocco",07 May - 12 May 2018,Singles,Grade 1,Entry: DA,Clay,O,100342700,100235492
2.0,16,L,"DROGUET, Titouan",FRA,5-7 5-7,Mediterranée Avenir,"COLAS SANCHEZ, Alberto",ESP,COLAS SANCHEZ,Alberto,"Casablanca, Morocco",07 May - 12 May 2018,Singles,Grade 1,Entry: DA,Clay,O,100225211,100235492
3.0,32,L,"NARDI , Luca",ITA,6-7(2) 5-7,35th Torneo Bayer di Salsomaggiore Terme		,"COLAS SANCHEZ, Alberto",ESP,COLAS SANCHEZ,Alberto,"Salsomaggiore Terme, Italy",30 Apr - 06 May 2018,Singles,Grade 2,Entry: DA,Clay,O,100276778,100235492
4.0,64,L,"HUANG, Chih Chi",CAN,6-7(5) 3-6,23eme Open International de Beaulieu-sur-Mer			,"COLAS SANCHEZ, Alberto",ESP,COLAS SANCHEZ,Alberto,"Beaulieu Sur Mer, France",23 Apr - 29 Apr 2018,Singles,Grade 1,Entry: DA,Clay,O,100252061,100235492
5.0,64,W,"BISTON, Tom",FRA,6-2 6-1,Trofeo Juan Carlos Ferrero,"COLAS SANCHEZ, Alberto",ESP,COLAS SANCHEZ,Alberto,"Villena, Spain",27 Mar - 01 Apr 2018,Singles,Grade 1,Entry: DA,Clay,O,100245197,100235492
5.0,32,L,"TORTORA, Davide",ITA,4-6 4-6,Trofeo Juan Carlos Ferrero,"COLAS SANCHEZ, Alberto",ESP,COLAS SANCHEZ,Alberto,"Villena, Spain",27 Mar - 01 Apr 2018,Singles,Grade 1,Entry: DA,Clay,O,100233990,100235492
6.0,32,L,"VIVES MARCOS , Pedro",ESP,3-6 4-6,XII ITF Junior GRIP2 Tennis Academy,"COLAS SANCHEZ, Alberto",ESP,COLAS SANCHEZ,Alberto,"Benicarlo, Spain",20 Mar - 24 Mar 2018,Singles,Grade 2,Entry: DA,Clay,O,100237403,100235492
7.0,32,L,"ROCENS, Martins",LAT,4-6 2-6,V ITF Junior GRIP2 Tennis Academy,"COLAS SANCHEZ, Alberto",ESP,COLAS SANCHEZ,Alberto,"Vinaros, Spain",13 Mar - 17 Mar 2018,Singles,Grade 2,Entry: DA,Clay,O,100194112,100235492
8.0,32,W,"COULIBALY, Eliakim",CIV,7-5 6-4,ITF Junior FTT,"COLAS SANCHEZ, Alberto",ESP,COLAS SANCHEZ,Alberto,"Tunis, Tunisia",30 Jan - 04 Feb 2018,Singles,Grade 2,Entry: DA,Hard,O,100331635,100235492
