eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
2.0,32,L,"PEL, Stijn",NED,3-6 6-1 2-6,Jugend Cup Renningen/Rutesheim,"CADONAU, Jakob",GER,CADONAU,Jakob,"Renningen, Germany",14 Aug - 18 Aug 2018,Singles,Grade 3,Entry: DA,Clay,O,100263042,100271282
3.0,32,W,"DOBRNJAC, Vanja",SRB,6-0 6-1,2nd City of Wels Junior Grand Prix 2018,"CADONAU, Jakob",GER,CADONAU,Jakob,"Wels, Austria",10 Jul - 15 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100232584,100271282
3.0,16,W,"MAESTRELLI, Francesco",ITA,6-0 6-4,2nd City of Wels Junior Grand Prix 2018,"CADONAU, Jakob",GER,CADONAU,Jakob,"Wels, Austria",10 Jul - 15 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100257588,100271282
3.0,QF,L,"PLANINSEK, Filip Jeff",SLO,4-6 4-6,2nd City of Wels Junior Grand Prix 2018,"CADONAU, Jakob",GER,CADONAU,Jakob,"Wels, Austria",10 Jul - 15 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100224262,100271282
4.0,64,W,"ROHRER, Niklas",AUT,6-1 6-4,HEAD Cup Bruchköbel powered by Steinfeger Immobilien,"CADONAU, Jakob",GER,CADONAU,Jakob,"Bruchköbel, Germany",03 Jul - 08 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100262670,100271282
4.0,32,W,"HERMAN, Benedek",HUN,6-3 7-5,HEAD Cup Bruchköbel powered by Steinfeger Immobilien,"CADONAU, Jakob",GER,CADONAU,Jakob,"Bruchköbel, Germany",03 Jul - 08 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100237211,100271282
4.0,16,W,"GUARIN, Samuel",COL,6-2 6-0,HEAD Cup Bruchköbel powered by Steinfeger Immobilien,"CADONAU, Jakob",GER,CADONAU,Jakob,"Bruchköbel, Germany",03 Jul - 08 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100298289,100271282
4.0,QF,W,"WISKANDT, Max",GER,6-2 6-1,HEAD Cup Bruchköbel powered by Steinfeger Immobilien,"CADONAU, Jakob",GER,CADONAU,Jakob,"Bruchköbel, Germany",03 Jul - 08 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100258634,100271282
4.0,SF,L,"DESCHAMPS, Allan",FRA,1-6 1-6,HEAD Cup Bruchköbel powered by Steinfeger Immobilien,"CADONAU, Jakob",GER,CADONAU,Jakob,"Bruchköbel, Germany",03 Jul - 08 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100227916,100271282
5.0,32,L,"NGUYEN, Phuong Van",VIE,6-2 6-7(5) 3-6,VAN DER VALK HOTEL GLADBECK Junior Cup powered by BABOLAT,"CADONAU, Jakob",GER,CADONAU,Jakob,"Gladbeck, Germany",25 Jun - 30 Jun 2018,Singles,Grade 2,Entry: WC,Clay,O,100276046,100271282
