eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,32,W,"MUEHR, Alexander",AUT,6-2 5-2 DEF,ITF Véska 2018,"HOLIS, Evzen",CZE,HOLIS,Evzen,"Véska, Czech Republic",16 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100306545,100178498
1.0,16,W,"JURAJDA, Adam",CZE,6-4 7-5,ITF Véska 2018,"HOLIS, Evzen",CZE,HOLIS,Evzen,"Véska, Czech Republic",16 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100300651,100178498
1.0,QF,W,"MINARIK, Kristof",SVK,3-6 6-4 6-0,ITF Véska 2018,"HOLIS, Evzen",CZE,HOLIS,Evzen,"Véska, Czech Republic",16 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100250712,100178498
1.0,SF,L,"HORVAT, Roko",CRO,6-7(5) 2-6,ITF Véska 2018,"HOLIS, Evzen",CZE,HOLIS,Evzen,"Véska, Czech Republic",16 Jul - 22 Jul 2018,Singles,Grade 4,Entry: DA,Clay,O,100250751,100178498
2.0,32,L,"ARNALDI, Matteo",ITA,6-7(5) 2-6,Ex Pilsen Babolat Cup,"HOLIS, Evzen",CZE,HOLIS,Evzen,"Plzen, Czech Republic",27 Jun - 01 Jul 2018,Singles,Grade 2,Entry: DA,Clay,O,100256114,100178498
3.0,64,L,"DANILOV, Savriyan",RUS,2-6 4-6,Allianz Kundler German Juniors supported by OPTIMAL SYSTEMS,"HOLIS, Evzen",CZE,HOLIS,Evzen,"Berlin, Germany",19 Jun - 24 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100221058,100178498
4.0,32,W,"HERSEY, Jake",GBR,3-6 6-3 6-3,Miedzynarodowy Turniej Juniorów o Puchar Slaska,"HOLIS, Evzen",CZE,HOLIS,Evzen,"Bytom, Poland",13 Jun - 17 Jun 2018,Singles,Grade 2,Entry: DA,Clay,O,100222945,100178498
4.0,16,L,"KODAT, Toby Alex",USA,1-6 1-6,Miedzynarodowy Turniej Juniorów o Puchar Slaska,"HOLIS, Evzen",CZE,HOLIS,Evzen,"Bytom, Poland",13 Jun - 17 Jun 2018,Singles,Grade 2,Entry: DA,Clay,O,100253527,100178498
5.0,32,W,"DUDEK, Tomasz",POL,6-2 6-3,Alfa TI Cup 1,"HOLIS, Evzen",CZE,HOLIS,Evzen,"Budapest, Hungary",22 May - 26 May 2018,Singles,Grade 2,Entry: DA,Clay,O,100227073,100178498
5.0,16,W,"SHUMEIKO, Pavel",UKR,7-6(0) 7-5,Alfa TI Cup 1,"HOLIS, Evzen",CZE,HOLIS,Evzen,"Budapest, Hungary",22 May - 26 May 2018,Singles,Grade 2,Entry: DA,Clay,O,100206019,100178498
