eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,32,W,"BADENHORST, Devin",RSA,6-7(4) 6-0 6-1,Curro Junior ITF - Grade 3,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Stellenbosch, Cape Town, South Africa",10 Sep - 15 Sep 2018,Singles,Grade 3,Entry: DA,Hard,O,100302837,100302847
1.0,16,L,"NOTHHAFT, Sebastian",HKG,0-6 2-6,Curro Junior ITF - Grade 3,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Stellenbosch, Cape Town, South Africa",10 Sep - 15 Sep 2018,Singles,Grade 3,Entry: DA,Hard,O,100238741,100302847
2.0,32,L,"FORTUIN, Ruben",RSA,1-6 0-6,Curro Junior ITF - Grade 4,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Stellenbosch, South Africa",03 Sep - 08 Sep 2018,Singles,Grade 4,Entry: DA,Hard,O,100302854,100302847
3.0,32,W,"MASARA, Hesley",ZIM,7-5 6-3,ITF 18 &amp; U South Central Circuit Leg 3,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Harare, Zimbabwe",13 Aug - 18 Aug 2018,Singles,Grade 3,Entry: DA,Hard,O,100326679,100302847
3.0,16,L,"JAVIA, Dev",IND,4-6 1-6,ITF 18 &amp; U South Central Circuit Leg 3,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Harare, Zimbabwe",13 Aug - 18 Aug 2018,Singles,Grade 3,Entry: DA,Hard,O,100278641,100302847
4.0,32,L,"HENDRIKX, Jim",NED,0-6 0-6,Telkea Open 2018,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Schifflange, Luxembourg",30 Jul - 04 Aug 2018,Singles,Grade 4,Entry: DA,Clay,O,100252347,100302847
5.0,32,W,"ROOTHMAN, Carl",RSA,6-2 6-4,Gauteng North Junior ITF,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Pretoria, South Africa",23 Jul - 28 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100285622,100302847
5.0,16,W,"DAVIS, Jamie",RSA,6-2 7-6(5),Gauteng North Junior ITF,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Pretoria, South Africa",23 Jul - 28 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100264866,100302847
5.0,QF,W,"SULLWALD, Gerhard",RSA,6-1 6-1,Gauteng North Junior ITF,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Pretoria, South Africa",23 Jul - 28 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100295092,100302847
5.0,SF,L,"HENNING, Philip",RSA,4-6 2-6,Gauteng North Junior ITF,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Pretoria, South Africa",23 Jul - 28 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100205129,100302847
6.0,32,W,"VAN WYK, Chrisjan",RSA,4-6 6-3 6-4,Wanderers Junior ITF,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Johannesburg, South Africa",16 Jul - 21 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100302895,100302847
6.0,16,W,"COLLINS FLORES, Parker",USA,6-3 RET,Wanderers Junior ITF,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Johannesburg, South Africa",16 Jul - 21 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100335947,100302847
6.0,QF,W,"MINDRY, KADE SAMUEL",RSA,6-1 6-4,Wanderers Junior ITF,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Johannesburg, South Africa",16 Jul - 21 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100365870,100302847
6.0,SF,L,"MALAN, Pierre",RSA,6-4 3-6 3-6,Wanderers Junior ITF,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Johannesburg, South Africa",16 Jul - 21 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100247687,100302847
7.0,32,W,"NALLAPAREDDY, Abhinav",IND,6-1 6-1,ITF Junior Circuit Mozambique Leg 1,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Maputo, Mozambique",15 May - 19 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100331867,100302847
7.0,16,W,"MOTLOJOA, Nyathi",LES,6-4 6-2,ITF Junior Circuit Mozambique Leg 1,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Maputo, Mozambique",15 May - 19 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100274426,100302847
7.0,QF,W,"VAN SCHALKWYK, Codie Schalk",NAM,3-6 6-4 7-5,ITF Junior Circuit Mozambique Leg 1,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Maputo, Mozambique",15 May - 19 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100306095,100302847
7.0,SF,L,"MORGAN, Charl",RSA,3-6 4-6,ITF Junior Circuit Mozambique Leg 1,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Maputo, Mozambique",15 May - 19 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100247695,100302847
8.0,32,W,"MOYO, Zamani",ZIM,6-2 6-0,Botswana International Junior Tournament,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Gaborone, Botswana",16 Apr - 21 Apr 2018,Singles,Grade 5,Entry: DA,Hard,O,100375793,100302847
8.0,16,W,"GURUSWAMY, Arun Venkat",USA,6-3 6-2,Botswana International Junior Tournament,"COUTINHO, Jordan",RSA,COUTINHO,Jordan,"Gaborone, Botswana",16 Apr - 21 Apr 2018,Singles,Grade 5,Entry: DA,Hard,O,100283854,100302847
