eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,64,W,"DAMM, Martin",USA,6-2 6-4,US Open Junior Tennis Championships,"SKATOV, Timofei",KAZ,SKATOV,Timofei,"New York, USA",02 Sep - 09 Sep 2018,Singles,Grade A,Entry: DA,Hard,O,100263213,100228382
1.0,32,L,"ZEPPIERI, Giulio",ITA,0-6 1-6,US Open Junior Tennis Championships,"SKATOV, Timofei",KAZ,SKATOV,Timofei,"New York, USA",02 Sep - 09 Sep 2018,Singles,Grade A,Entry: DA,Hard,O,100233987,100228382
2.0,64,W,"BAKER, Blu",GBR,6-3 6-4,"The Junior Championships, Wimbledon","SKATOV, Timofei",KAZ,SKATOV,Timofei,"Wimbledon, Great Britain",07 Jul - 15 Jul 2018,Singles,Grade A,Entry: DA,Grass,O,100285566,100228382
2.0,32,W,"NAKASHIMA, Brandon",USA,6-3 6-4,"The Junior Championships, Wimbledon","SKATOV, Timofei",KAZ,SKATOV,Timofei,"Wimbledon, Great Britain",07 Jul - 15 Jul 2018,Singles,Grade A,Entry: DA,Grass,O,100281928,100228382
2.0,16,L,"MU, Tao",CHN,4-6 4-6,"The Junior Championships, Wimbledon","SKATOV, Timofei",KAZ,SKATOV,Timofei,"Wimbledon, Great Britain",07 Jul - 15 Jul 2018,Singles,Grade A,Entry: DA,Grass,O,100271084,100228382
3.0,64,L,"FOREJTEK, Jonas",CZE,4-6 5-7,Junior International Roehampton,"SKATOV, Timofei",KAZ,SKATOV,Timofei,"Roehampton, Great Britain",01 Jul - 06 Jul 2018,Singles,Grade 1,Entry: DA,Grass,O,100210075,100228382
4.0,64,W,"BARREIROS REYES, Mateo",BRA,7-5 6-2,Roland Garros Junior French Championships,"SKATOV, Timofei",KAZ,SKATOV,Timofei,"Paris, France",03 Jun - 09 Jun 2018,Singles,Grade A,Entry: DA,Clay,O,100312800,100228382
4.0,32,W,"MAREK, Wojciech",POL,2-6 6-3 6-1,Roland Garros Junior French Championships,"SKATOV, Timofei",KAZ,SKATOV,Timofei,"Paris, France",03 Jun - 09 Jun 2018,Singles,Grade A,Entry: DA,Clay,O,100232838,100228382
4.0,16,L,"MEJIA, Nicolas",COL,1-6 4-6,Roland Garros Junior French Championships,"SKATOV, Timofei",KAZ,SKATOV,Timofei,"Paris, France",03 Jun - 09 Jun 2018,Singles,Grade A,Entry: DA,Clay,O,100226751,100228382
5.0,32,L,"RODRIGUEZ, Sebastian",PER,2-6 3-6,"54th Astrid Bowl Charleroi, Belgian International Junior Championships","SKATOV, Timofei",KAZ,SKATOV,Timofei,"Charleroi-Marcinelle, Belgium",28 May - 02 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100310228,100228382
6.0,64,L,"COBOLLI, Flavio",ITA,5-7 0-6,59th Trofeo Bonfiglio - Campionati Internazionali d'Italia Juniores,"SKATOV, Timofei",KAZ,SKATOV,Timofei,"Milan, Italy",21 May - 27 May 2018,Singles,Grade A,Entry: DA,Clay,O,100254431,100228382
