eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,32,W,"GEDULDT, Luke",RSA,6-4 6-1,Curro Junior ITF - Grade 3,"MORGAN, Charl",RSA,MORGAN,Charl,"Stellenbosch, Cape Town, South Africa",10 Sep - 15 Sep 2018,Singles,Grade 3,Entry: DA,Hard,O,100339474,100247695
1.0,16,W,"DAVIS, Jamie",RSA,6-0 6-1,Curro Junior ITF - Grade 3,"MORGAN, Charl",RSA,MORGAN,Charl,"Stellenbosch, Cape Town, South Africa",10 Sep - 15 Sep 2018,Singles,Grade 3,Entry: DA,Hard,O,100264866,100247695
1.0,QF,W,"VANSHELBOIM, Eric",UKR,6-4 6-1,Curro Junior ITF - Grade 3,"MORGAN, Charl",RSA,MORGAN,Charl,"Stellenbosch, Cape Town, South Africa",10 Sep - 15 Sep 2018,Singles,Grade 3,Entry: DA,Hard,O,100209981,100247695
1.0,SF,W,"MONTSI, Khololwam",RSA,6-1 6-3,Curro Junior ITF - Grade 3,"MORGAN, Charl",RSA,MORGAN,Charl,"Stellenbosch, Cape Town, South Africa",10 Sep - 15 Sep 2018,Singles,Grade 3,Entry: DA,Hard,O,100247694,100247695
1.0,FR,W,"MALAN, Pierre",RSA,6-3 6-4,Curro Junior ITF - Grade 3,"MORGAN, Charl",RSA,MORGAN,Charl,"Stellenbosch, Cape Town, South Africa",10 Sep - 15 Sep 2018,Singles,Grade 3,Entry: DA,Hard,O,100247687,100247695
2.0,32,W,"THERON, Duther",RSA,6-1 6-4,Curro Junior ITF - Grade 4,"MORGAN, Charl",RSA,MORGAN,Charl,"Stellenbosch, South Africa",03 Sep - 08 Sep 2018,Singles,Grade 4,Entry: DA,Hard,O,100343202,100247695
2.0,16,W,"KRUGER, Connor",RSA,6-0 6-2,Curro Junior ITF - Grade 4,"MORGAN, Charl",RSA,MORGAN,Charl,"Stellenbosch, South Africa",03 Sep - 08 Sep 2018,Singles,Grade 4,Entry: DA,Hard,O,100285596,100247695
2.0,QF,W,"LONGWE-SMIT, Thando",RSA,6-3 6-2,Curro Junior ITF - Grade 4,"MORGAN, Charl",RSA,MORGAN,Charl,"Stellenbosch, South Africa",03 Sep - 08 Sep 2018,Singles,Grade 4,Entry: DA,Hard,O,100247683,100247695
2.0,SF,L,"KLOPPER, Joubert",RSA,6-3 6-7(5) 0-3 RET,Curro Junior ITF - Grade 4,"MORGAN, Charl",RSA,MORGAN,Charl,"Stellenbosch, South Africa",03 Sep - 08 Sep 2018,Singles,Grade 4,Entry: DA,Hard,O,100235130,100247695
3.0,32,W,"BARADEL , Emilien",FRA,6-1 6-2,ITF U18 Petit Camp Open,"MORGAN, Charl",RSA,MORGAN,Charl,"Phoenix, Mauritius",20 Aug - 24 Aug 2018,Singles,Grade 4,Entry: DA,Hard,O,100285781,100247695
3.0,16,W,"LAM HAU CHING, Jake",MRI,6-0 6-0,ITF U18 Petit Camp Open,"MORGAN, Charl",RSA,MORGAN,Charl,"Phoenix, Mauritius",20 Aug - 24 Aug 2018,Singles,Grade 4,Entry: DA,Hard,O,100364228,100247695
3.0,QF,W,"TRIA, Jose Antonio",PHI,7-5 6-0,ITF U18 Petit Camp Open,"MORGAN, Charl",RSA,MORGAN,Charl,"Phoenix, Mauritius",20 Aug - 24 Aug 2018,Singles,Grade 4,Entry: DA,Hard,O,100293400,100247695
3.0,SF,W,"NOTHHAFT, Sebastian",HKG,6-1 6-3,ITF U18 Petit Camp Open,"MORGAN, Charl",RSA,MORGAN,Charl,"Phoenix, Mauritius",20 Aug - 24 Aug 2018,Singles,Grade 4,Entry: DA,Hard,O,100238741,100247695
3.0,FR,L,"SHAH, Mann",IND,3-6 4-6,ITF U18 Petit Camp Open,"MORGAN, Charl",RSA,MORGAN,Charl,"Phoenix, Mauritius",20 Aug - 24 Aug 2018,Singles,Grade 4,Entry: DA,Hard,O,100278772,100247695
4.0,32,W,"NCUBE, Thabo",ZIM,7-6(6) 6-3,ITF 18 &amp; U South Central Circuit Leg 3,"MORGAN, Charl",RSA,MORGAN,Charl,"Harare, Zimbabwe",13 Aug - 18 Aug 2018,Singles,Grade 3,Entry: DA,Hard,O,100285611,100247695
4.0,16,L,"KAMATH, Madhwin",IND,6-4 6-7(3) 0-6,ITF 18 &amp; U South Central Circuit Leg 3,"MORGAN, Charl",RSA,MORGAN,Charl,"Harare, Zimbabwe",13 Aug - 18 Aug 2018,Singles,Grade 3,Entry: DA,Hard,O,100278651,100247695
5.0,64,W,"WU, Yuchen",CHN,7-5 6-4,China Junior 14,"MORGAN, Charl",RSA,MORGAN,Charl,"Nanjing, China, P.R.",31 Jul - 05 Aug 2018,Singles,Grade 1,Entry: DA,Hard,O,100237269,100247695
5.0,32,W,"MO, Yecong",CHN,6-2 6-4,China Junior 14,"MORGAN, Charl",RSA,MORGAN,Charl,"Nanjing, China, P.R.",31 Jul - 05 Aug 2018,Singles,Grade 1,Entry: DA,Hard,O,100295070,100247695
5.0,16,W,"YOSHINO, Fumiya",JPN,6-2 7-5,China Junior 14,"MORGAN, Charl",RSA,MORGAN,Charl,"Nanjing, China, P.R.",31 Jul - 05 Aug 2018,Singles,Grade 1,Entry: DA,Hard,O,100268202,100247695
5.0,QF,L,"NG, Ki Lung",HKG,3-6 2-6,China Junior 14,"MORGAN, Charl",RSA,MORGAN,Charl,"Nanjing, China, P.R.",31 Jul - 05 Aug 2018,Singles,Grade 1,Entry: DA,Hard,O,100241081,100247695
6.0,32,W,"HENSBERG, Nikolai",RSA,6-2 6-0,Gauteng North Junior ITF,"MORGAN, Charl",RSA,MORGAN,Charl,"Pretoria, South Africa",23 Jul - 28 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100302863,100247695
6.0,16,L,"SULLWALD, Gerhard",RSA,6-7(9) 6-7(5),Gauteng North Junior ITF,"MORGAN, Charl",RSA,MORGAN,Charl,"Pretoria, South Africa",23 Jul - 28 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100295092,100247695
7.0,32,W,"LONGWE-SMIT, Thando",RSA,6-1 6-3,Wanderers Junior ITF,"MORGAN, Charl",RSA,MORGAN,Charl,"Johannesburg, South Africa",16 Jul - 21 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100247683,100247695
7.0,16,W,"ROBBERTSE, Wikus",RSA,6-1 6-2,Wanderers Junior ITF,"MORGAN, Charl",RSA,MORGAN,Charl,"Johannesburg, South Africa",16 Jul - 21 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100247720,100247695
7.0,QF,W,"SALTON, Dylan",RSA,6-4 6-3,Wanderers Junior ITF,"MORGAN, Charl",RSA,MORGAN,Charl,"Johannesburg, South Africa",16 Jul - 21 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100302883,100247695
7.0,SF,L,"KLOPPER, Joubert",RSA,4-6 4-6,Wanderers Junior ITF,"MORGAN, Charl",RSA,MORGAN,Charl,"Johannesburg, South Africa",16 Jul - 21 Jul 2018,Singles,Grade 4,Entry: DA,Hard,O,100235130,100247695
8.0,64,L,"DALE, Andrew",USA,7-6(4) 3-6 1-6,TC Bakkum Dutch Junior Open 2018,"MORGAN, Charl",RSA,MORGAN,Charl,"Castricum, Netherlands",03 Jul - 08 Jul 2018,Singles,Grade 2,Entry: DA,Clay,O,100316578,100247695
9.0,Q1,W,"BANCILA, Alex",USA,6-1 4-6 6-2,Allianz Kundler German Juniors supported by OPTIMAL SYSTEMS,"MORGAN, Charl",RSA,MORGAN,Charl,"Berlin, Germany",19 Jun - 24 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100238620,100247695
9.0,Q2,W,"PARTS, Robin Erik",EST,7-5 6-2,Allianz Kundler German Juniors supported by OPTIMAL SYSTEMS,"MORGAN, Charl",RSA,MORGAN,Charl,"Berlin, Germany",19 Jun - 24 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100199207,100247695
9.0,64,L,"CADONAU, Jakob",GER,4-6 2-6,Allianz Kundler German Juniors supported by OPTIMAL SYSTEMS,"MORGAN, Charl",RSA,MORGAN,Charl,"Berlin, Germany",19 Jun - 24 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100271282,100247695
10.0,64,L,"PRESUHN, Bastien",GER,4-6 6-2 2-6,26th Internat. Nürnberger Versicherungs-ITF-Junior Tournament,"MORGAN, Charl",RSA,MORGAN,Charl,"Offenbach, Germany",12 Jun - 17 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100206003,100247695
11.0,16,W,"NOTHHAFT, Sebastian",HKG,6-2 6-4,ITF Junior Circuit Mozambique Leg 2,"MORGAN, Charl",RSA,MORGAN,Charl,"Maputo, Mozambique",22 May - 26 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100238741,100247695
11.0,QF,W,"TSIANG, Tsholofelo",BOT,6-1 6-1,ITF Junior Circuit Mozambique Leg 2,"MORGAN, Charl",RSA,MORGAN,Charl,"Maputo, Mozambique",22 May - 26 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100307275,100247695
11.0,SF,W,"VAN SCHALKWYK, Codie Schalk",NAM,6-2 6-3,ITF Junior Circuit Mozambique Leg 2,"MORGAN, Charl",RSA,MORGAN,Charl,"Maputo, Mozambique",22 May - 26 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100306095,100247695
11.0,FR,L,"MONTSI, Khololwam",RSA,2-6 2-6,ITF Junior Circuit Mozambique Leg 2,"MORGAN, Charl",RSA,MORGAN,Charl,"Maputo, Mozambique",22 May - 26 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100247694,100247695
12.0,32,W,"BAVISHI, Parshwa",IND,6-0 6-1,ITF Junior Circuit Mozambique Leg 1,"MORGAN, Charl",RSA,MORGAN,Charl,"Maputo, Mozambique",15 May - 19 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100283203,100247695
12.0,16,W,"MOSARWA, Tshepo",BOT,6-2 6-3,ITF Junior Circuit Mozambique Leg 1,"MORGAN, Charl",RSA,MORGAN,Charl,"Maputo, Mozambique",15 May - 19 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100301401,100247695
12.0,QF,W,"LAJAL, Mark",EST,6-4 6-4,ITF Junior Circuit Mozambique Leg 1,"MORGAN, Charl",RSA,MORGAN,Charl,"Maputo, Mozambique",15 May - 19 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100257295,100247695
12.0,SF,W,"COUTINHO, Jordan",RSA,6-3 6-4,ITF Junior Circuit Mozambique Leg 1,"MORGAN, Charl",RSA,MORGAN,Charl,"Maputo, Mozambique",15 May - 19 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100302847,100247695
12.0,FR,L,"MONTSI, Khololwam",RSA,2-6 2-6,ITF Junior Circuit Mozambique Leg 1,"MORGAN, Charl",RSA,MORGAN,Charl,"Maputo, Mozambique",15 May - 19 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100247694,100247695
13.0,32,W,"HAMZA REGUIG, Samir",ALG,6-2 6-1,NTA 18 &amp; Under ITF Event (Week 2),"MORGAN, Charl",RSA,MORGAN,Charl,"Windhoek, Namibia",07 May - 12 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100257950,100247695
13.0,16,W,"WALLIN, Olle",SWE,6-4 6-0,NTA 18 &amp; Under ITF Event (Week 2),"MORGAN, Charl",RSA,MORGAN,Charl,"Windhoek, Namibia",07 May - 12 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100285527,100247695
13.0,QF,W,"VAN SCHALKWYK, Codie Schalk",NAM,6-1 6-2,NTA 18 &amp; Under ITF Event (Week 2),"MORGAN, Charl",RSA,MORGAN,Charl,"Windhoek, Namibia",07 May - 12 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100306095,100247695
13.0,SF,W,"MALAN, Pierre",RSA,7-6(6) 6-1,NTA 18 &amp; Under ITF Event (Week 2),"MORGAN, Charl",RSA,MORGAN,Charl,"Windhoek, Namibia",07 May - 12 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100247687,100247695
13.0,FR,L,"MONTSI, Khololwam",RSA,4-6 7-6(3) 1-6,NTA 18 &amp; Under ITF Event (Week 2),"MORGAN, Charl",RSA,MORGAN,Charl,"Windhoek, Namibia",07 May - 12 May 2018,Singles,Grade 5,Entry: DA,Hard,O,100247694,100247695
14.0,32,W,"WALLIN, Olle",SWE,6-1 6-1,NTA 18 &amp; Under ITF Event (Week 1),"MORGAN, Charl",RSA,MORGAN,Charl,"Windhoek, Namibia",30 Apr - 05 May 2018,Singles,Grade 4,Entry: DA,Hard,O,100285527,100247695
14.0,16,W,"HAMZA REGUIG, Samir",ALG,6-2 6-3,NTA 18 &amp; Under ITF Event (Week 1),"MORGAN, Charl",RSA,MORGAN,Charl,"Windhoek, Namibia",30 Apr - 05 May 2018,Singles,Grade 4,Entry: DA,Hard,O,100257950,100247695
14.0,QF,W,"RAAD, Rikard",SWE,6-2 2-6 6-3,NTA 18 &amp; Under ITF Event (Week 1),"MORGAN, Charl",RSA,MORGAN,Charl,"Windhoek, Namibia",30 Apr - 05 May 2018,Singles,Grade 4,Entry: DA,Hard,O,100249365,100247695
14.0,SF,L,"MALAN, Pierre",RSA,3-6 2-6,NTA 18 &amp; Under ITF Event (Week 1),"MORGAN, Charl",RSA,MORGAN,Charl,"Windhoek, Namibia",30 Apr - 05 May 2018,Singles,Grade 4,Entry: DA,Hard,O,100247687,100247695
15.0,32,W,"ZALOUMIS, Lyle",ZIM,6-1 6-0,4th ITF Euphemia Tlhapane Memorial,"MORGAN, Charl",RSA,MORGAN,Charl,"Gaborone, Botswana",23 Apr - 28 Apr 2018,Singles,Grade 5,Entry: DA,Hard,O,100301694,100247695
15.0,16,W,"BINNIE, William",POR,6-4 6-1,4th ITF Euphemia Tlhapane Memorial,"MORGAN, Charl",RSA,MORGAN,Charl,"Gaborone, Botswana",23 Apr - 28 Apr 2018,Singles,Grade 5,Entry: DA,Hard,O,100303902,100247695
15.0,QF,W,"CHABATA, Tanaka S",ZIM,6-1 6-0,4th ITF Euphemia Tlhapane Memorial,"MORGAN, Charl",RSA,MORGAN,Charl,"Gaborone, Botswana",23 Apr - 28 Apr 2018,Singles,Grade 5,Entry: DA,Hard,O,100225386,100247695
15.0,SF,W,"ROOTHMAN, Carl",RSA,6-2 6-0,4th ITF Euphemia Tlhapane Memorial,"MORGAN, Charl",RSA,MORGAN,Charl,"Gaborone, Botswana",23 Apr - 28 Apr 2018,Singles,Grade 5,Entry: DA,Hard,O,100285622,100247695
15.0,FR,W,"KLOPPER, Joubert",RSA,3-6 6-3 6-2,4th ITF Euphemia Tlhapane Memorial,"MORGAN, Charl",RSA,MORGAN,Charl,"Gaborone, Botswana",23 Apr - 28 Apr 2018,Singles,Grade 5,Entry: DA,Hard,O,100235130,100247695
16.0,Q1,L,"MORET, Joris",FRA,4-6 3-6,Open d'Istres,"MORGAN, Charl",RSA,MORGAN,Charl,"Istres, France",14 Apr - 15 Apr 2018,Singles,Grade 2,Entry: DA,Clay,O,100248565,100247695
17.0,Q1,L,"STRAUB , Adrien",FRA,2-6 4-6,ITF Junior Cap d'Ail					,"MORGAN, Charl",RSA,MORGAN,Charl,"Cap d'Ail, France",07 Apr - 08 Apr 2018,Singles,Grade 2,Entry: DA,Clay,O,100248052,100247695
18.0,32,L,"TENSING, Filip",SWE,7-6(6) 6-7(5) 2-6,ITF High Coast Kramfors Junior Challenge 2018,"MORGAN, Charl",RSA,MORGAN,Charl,"Kramfors, Sweden",12 Mar - 17 Mar 2018,Singles,Grade 4,Entry: DA,Hard,I,100225768,100247695
19.0,32,W,"TARUBEREKERA, Tinashe",ZIM,6-2 6-1,Brooklyn Union Axnosis ITF,"MORGAN, Charl",RSA,MORGAN,Charl,"Pretoria, South Africa",26 Feb - 03 Mar 2018,Singles,Grade 3,Entry: DA,Hard,O,100285633,100247695
19.0,16,W,"ARENDS, Robbie",RSA,6-4 6-0,Brooklyn Union Axnosis ITF,"MORGAN, Charl",RSA,MORGAN,Charl,"Pretoria, South Africa",26 Feb - 03 Mar 2018,Singles,Grade 3,Entry: DA,Hard,O,100247625,100247695
19.0,QF,L,"HENNING, Philip",RSA,6-7(6) 3-6,Brooklyn Union Axnosis ITF,"MORGAN, Charl",RSA,MORGAN,Charl,"Pretoria, South Africa",26 Feb - 03 Mar 2018,Singles,Grade 3,Entry: DA,Hard,O,100205129,100247695
20.0,32,W,"FREEL, Andrew",RSA,6-2 6-2,RVTA Pukke Junior ITF (Week 2)	,"MORGAN, Charl",RSA,MORGAN,Charl,"Potchefstroom, South Africa",19 Feb - 24 Feb 2018,Singles,Grade 5,Entry: DA,Hard,O,100247656,100247695
20.0,16,W,"ERNAELSTEEN, Victor",BEL,6-2 5-7 7-5,RVTA Pukke Junior ITF (Week 2)	,"MORGAN, Charl",RSA,MORGAN,Charl,"Potchefstroom, South Africa",19 Feb - 24 Feb 2018,Singles,Grade 5,Entry: DA,Hard,O,100210073,100247695
20.0,QF,L,"KLOPPER, Joubert",RSA,4-6 6-4 5-7,RVTA Pukke Junior ITF (Week 2)	,"MORGAN, Charl",RSA,MORGAN,Charl,"Potchefstroom, South Africa",19 Feb - 24 Feb 2018,Singles,Grade 5,Entry: DA,Hard,O,100235130,100247695
21.0,32,W,"TANNER, Gian Luca",SUI,7-6(3) 7-6(1),Swiss Junior Trophy Winter,"MORGAN, Charl",RSA,MORGAN,Charl,"Oberentfelden, Switzerland",29 Jan - 03 Feb 2018,Singles,Grade 4,Entry: DA,Carpet,I,100238986,100247695
