eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,32,W,"BONDAR, Myroslav",UKR,6-2 3-6 6-3,ETC Cup,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Chernomorsk (Odessa Region), Ukraine",17 Sep - 23 Sep 2018,Singles,Grade 5,Entry: DA,Clay,O,100250083,100252577
1.0,16,W,"KASPERSKI, Wojciech",POL,6-2 6-3,ETC Cup,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Chernomorsk (Odessa Region), Ukraine",17 Sep - 23 Sep 2018,Singles,Grade 5,Entry: DA,Clay,O,100284836,100252577
1.0,QF,W,"VOLOSHYN, Anatoliy",UKR,4-6 6-3 6-1,ETC Cup,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Chernomorsk (Odessa Region), Ukraine",17 Sep - 23 Sep 2018,Singles,Grade 5,Entry: DA,Clay,O,100275983,100252577
1.0,SF,,"ILNYTSKYY, Svyatoslav",UKR,,ETC Cup,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Chernomorsk (Odessa Region), Ukraine",17 Sep - 23 Sep 2018,Singles,Grade 5,Entry: DA,Clay,O,100261692,100252577
2.0,32,W,"LORENS , Mikolaj",POL,4-6 7-6(4) 6-2,MTA Cup 2018,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Kyiv region, Bucha village, Ukraine",13 Aug - 18 Aug 2018,Singles,Grade 3,Entry: DA,Clay,O,100234469,100252577
2.0,16,W,"GREKUL, Alexander",UKR,6-0 6-0,MTA Cup 2018,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Kyiv region, Bucha village, Ukraine",13 Aug - 18 Aug 2018,Singles,Grade 3,Entry: DA,Clay,O,100294976,100252577
2.0,QF,L,"DESCHAMPS, Allan",FRA,4-6 4-6,MTA Cup 2018,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Kyiv region, Bucha village, Ukraine",13 Aug - 18 Aug 2018,Singles,Grade 3,Entry: DA,Clay,O,100227916,100252577
3.0,,W,"FEARNLEY, Jacob",GBR,6-7(6) 7-6(3) 7-5,European Summer Cups 2018 (Boys),"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"La Rochelle, Italy",01 Aug - 03 Aug 2018,Singles,Grade C,,Clay,O,100248589,100252577
3.0,,W,"BINDA, Alexandr",RUS,6-2 1-6 6-4,European Summer Cups 2018 (Boys),"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"La Rochelle, Italy",01 Aug - 03 Aug 2018,Singles,Grade C,,Clay,O,100237206,100252577
4.0,128,W,"BARDZIN, Artsiom",BLR,6-4 6-2,2018 European Junior Championships,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Klosters, Switzerland",23 Jul - 29 Jul 2018,Singles,Grade B1,Entry: DA,Clay,O,100203223,100252577
4.0,64,L,"WASSERMANN, Deney",NED,6-7(2) 4-6,2018 European Junior Championships,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Klosters, Switzerland",23 Jul - 29 Jul 2018,Singles,Grade B1,Entry: DA,Clay,O,100256175,100252577
5.0,32,W,"ROTTOLI, Lorenzo",ITA,7-5 6-0,Lion Cup 2018,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Lviv, Ukraine",09 Jul - 14 Jul 2018,Singles,Grade 3,Entry: DA,Clay,O,100276059,100252577
5.0,16,L,"TASHBULATOV, Dostanbek",KAZ,6-4 4-6 3-6,Lion Cup 2018,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Lviv, Ukraine",09 Jul - 14 Jul 2018,Singles,Grade 3,Entry: DA,Clay,O,100236263,100252577
6.0,32,L,"BELLUCCI , Mattia",ITA,4-6 5-7,Babolat Cup,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Kyiv Region, Ukraine",25 Jun - 29 Jun 2018,Singles,Grade 3,Entry: DA,Hard,O,100208096,100252577
7.0,32,W,"IVIC, Stefan",SRB,6-3 6-0,Montenegro Open 2018,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Ulcinj, Montenegro",14 May - 20 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100236312,100252577
7.0,16,W,"BASIC, Nikola",CRO,6-2 6-1,Montenegro Open 2018,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Ulcinj, Montenegro",14 May - 20 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100251953,100252577
7.0,QF,W,"RAICEVIC, Danilo",MNE,6-3 6-4,Montenegro Open 2018,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Ulcinj, Montenegro",14 May - 20 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100259186,100252577
7.0,SF,L,"IVANOV, Simon Anthony",BUL,7-6(4) 4-6 1-6,Montenegro Open 2018,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Ulcinj, Montenegro",14 May - 20 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100203943,100252577
8.0,64,W,"LITVINOV, Daniel",RUS,6-1 6-0,Ozerov Cup,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Ryazan, Russia",07 May - 12 May 2018,Singles,Grade 2,Entry: DA,Clay,O,100230136,100252577
8.0,32,L,"DANILOV, Savriyan",RUS,4-6 2-6,Ozerov Cup,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Ryazan, Russia",07 May - 12 May 2018,Singles,Grade 2,Entry: DA,Clay,O,100221058,100252577
9.0,32,W,"RASAMATOV, Bekhzod",UZB,6-3 6-4,Almaty Open 2018,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Almaty, Kazakhstan",30 Apr - 05 May 2018,Singles,Grade 3,Entry: DA,Clay,O,100279762,100252577
9.0,16,L,"DANILOV, Savriyan",RUS,4-6 2-6,Almaty Open 2018,"BELOBORODKO, Illya",UKR,BELOBORODKO,Illya,"Almaty, Kazakhstan",30 Apr - 05 May 2018,Singles,Grade 3,Entry: DA,Clay,O,100221058,100252577
