eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,32,L,"JUHAS, Kristijan",SRB,4-6 3-6,20th Serbia Junior Open Novi Sad 2018,"MALESEVIC, Nemanja",BIH,MALESEVIC,Nemanja,"Novi Sad, Serbia",03 Sep - 07 Sep 2018,Singles,Grade 2,Entry: DA,Clay,O,100234384,100233351
2.0,Q2,W,"STEFANOVIC, Luka",SRB,6-1 6-0,ITF International 2018,"MALESEVIC, Nemanja",BIH,MALESEVIC,Nemanja,"Pancevo, Serbia",28 Aug - 01 Sep 2018,Singles,Grade 2,Entry: A,Clay,O,100234167,100233351
2.0,Q3,W,"KALAFATIC, Stefan",SRB,6-4 7-5,ITF International 2018,"MALESEVIC, Nemanja",BIH,MALESEVIC,Nemanja,"Pancevo, Serbia",28 Aug - 01 Sep 2018,Singles,Grade 2,Entry: A,Clay,O,100261885,100233351
2.0,32,L,"STROM, Gustaf",SWE,0-6 3-6,ITF International 2018,"MALESEVIC, Nemanja",BIH,MALESEVIC,Nemanja,"Pancevo, Serbia",28 Aug - 01 Sep 2018,Singles,Grade 2,Entry: A,Clay,O,100226260,100233351
3.0,32,L,"SPASIBO, Danil",RUS,4-6 4-6,Ex Pilsen Babolat Cup,"MALESEVIC, Nemanja",BIH,MALESEVIC,Nemanja,"Plzen, Czech Republic",27 Jun - 01 Jul 2018,Singles,Grade 2,Entry: DA,Clay,O,100239714,100233351
4.0,Q2,L,"GOMAR MONIO, Luis",ESP,1-6 4-6,Miedzynarodowy Turniej Juniorów o Puchar Slaska,"MALESEVIC, Nemanja",BIH,MALESEVIC,Nemanja,"Bytom, Poland",11 Jun - 12 Jun 2018,Singles,Grade 2,Entry: DA,Clay,O,100241865,100233351
5.0,32,W,"SERAFINI, Marcello",ITA,3-6 7-6(9) 6-4,Montenegro Open 2018,"MALESEVIC, Nemanja",BIH,MALESEVIC,Nemanja,"Ulcinj, Montenegro",14 May - 20 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100259321,100233351
5.0,16,W,"OVERBECK, Carl Emil",DEN,6-4 6-4,Montenegro Open 2018,"MALESEVIC, Nemanja",BIH,MALESEVIC,Nemanja,"Ulcinj, Montenegro",14 May - 20 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100239911,100233351
5.0,QF,W,"FRIEDLER, Asaf",ISR,6-1 6-2,Montenegro Open 2018,"MALESEVIC, Nemanja",BIH,MALESEVIC,Nemanja,"Ulcinj, Montenegro",14 May - 20 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100303160,100233351
5.0,SF,W,"PALOVIC, Lukas",SVK,7-5 6-4,Montenegro Open 2018,"MALESEVIC, Nemanja",BIH,MALESEVIC,Nemanja,"Ulcinj, Montenegro",14 May - 20 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100236069,100233351
