eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
2.0,64,W,"PEREZ, Brandon",VEN,6-3 7-5,Prince George's County International Hard Court ITF,"MANDLIK, Mark",USA,MANDLIK,Mark,"College Park, MD, USA",20 Aug - 25 Aug 2018,Singles,Grade 1,Entry: DA,Hard,O,100272962,100288748
2.0,32,L,"SOARES KLIER JUNIOR, Gilbert",BRA,3-6 0-6,Prince George's County International Hard Court ITF,"MANDLIK, Mark",USA,MANDLIK,Mark,"College Park, MD, USA",20 Aug - 25 Aug 2018,Singles,Grade 1,Entry: DA,Hard,O,100286385,100288748
3.0,32,L,"GEORGESCU, Matei Adrian",ROU,6-4 6-7(4) 4-6,23rd Tivoli Trophy Timsoara,"MANDLIK, Mark",USA,MANDLIK,Mark,"Timisoara, Romania",10 Jul - 14 Jul 2018,Singles,Grade 3,Entry: DA,Clay,O,100235481,100288748
4.0,32,W,"GLINKA, Daniil",EST,6-1 6-1,Ex Pilsen Babolat Cup,"MANDLIK, Mark",USA,MANDLIK,Mark,"Plzen, Czech Republic",27 Jun - 01 Jul 2018,Singles,Grade 2,Entry: DA,Clay,O,100203909,100288748
4.0,16,L,"HORAK, Vitek",CZE,4-6 4-6,Ex Pilsen Babolat Cup,"MANDLIK, Mark",USA,MANDLIK,Mark,"Plzen, Czech Republic",27 Jun - 01 Jul 2018,Singles,Grade 2,Entry: DA,Clay,O,100257572,100288748
6.0,64,L,"KROLO, Filip",GER,3-6 2-6,26th Internat. Nürnberger Versicherungs-ITF-Junior Tournament,"MANDLIK, Mark",USA,MANDLIK,Mark,"Offenbach, Germany",12 Jun - 17 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100233173,100288748
7.0,Q1,W,"SANNEN, Thorben",BEL,6-1 6-0,"54th Astrid Bowl Charleroi, Belgian International Junior Championships","MANDLIK, Mark",USA,MANDLIK,Mark,"Charleroi-Marcinelle, Belgium",28 May - 02 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100359878,100288748
7.0,Q2,W,"DE BODT, Jeremy",BEL,6-0 6-3,"54th Astrid Bowl Charleroi, Belgian International Junior Championships","MANDLIK, Mark",USA,MANDLIK,Mark,"Charleroi-Marcinelle, Belgium",28 May - 02 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100315224,100288748
7.0,Q3,W,"WENG, Jing Long",NED,6-1 6-4,"54th Astrid Bowl Charleroi, Belgian International Junior Championships","MANDLIK, Mark",USA,MANDLIK,Mark,"Charleroi-Marcinelle, Belgium",28 May - 02 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100230105,100288748
7.0,64,W,"HERMAN , Louis",BEL,6-3 2-6 6-3,"54th Astrid Bowl Charleroi, Belgian International Junior Championships","MANDLIK, Mark",USA,MANDLIK,Mark,"Charleroi-Marcinelle, Belgium",28 May - 02 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100234942,100288748
7.0,32,L,"MU, Tao",CHN,3-6 4-6,"54th Astrid Bowl Charleroi, Belgian International Junior Championships","MANDLIK, Mark",USA,MANDLIK,Mark,"Charleroi-Marcinelle, Belgium",28 May - 02 Jun 2018,Singles,Grade 1,Entry: DA,Clay,O,100271084,100288748
9.0,64,W,"SIMKIN, Nicolás",ARG,6-4 1-6 6-2,Delray Beach ITF,"MANDLIK, Mark",USA,MANDLIK,Mark,"Delray Beach, FL, USA",30 Apr - 05 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100347127,100288748
9.0,32,W,"ROSS, Jackson",USA,6-3 6-4,Delray Beach ITF,"MANDLIK, Mark",USA,MANDLIK,Mark,"Delray Beach, FL, USA",30 Apr - 05 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100305997,100288748
9.0,16,W,"LEBLANC, Alexandre",CAN,2-6 6-2 6-4,Delray Beach ITF,"MANDLIK, Mark",USA,MANDLIK,Mark,"Delray Beach, FL, USA",30 Apr - 05 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100294020,100288748
9.0,QF,W,"VILLAR, Yeudy",DOM,6-2 7-5,Delray Beach ITF,"MANDLIK, Mark",USA,MANDLIK,Mark,"Delray Beach, FL, USA",30 Apr - 05 May 2018,Singles,Grade 4,Entry: DA,Clay,O,100307863,100288748
