eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,32,W,"YI, Zhong",CHN,6-2 6-0,China Junior 15,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Guangzhou, China, P.R.",18 Sep - 22 Sep 2018,Singles,Grade 3,Entry: DA,Hard,O,100323346,100286889
1.0,16,W,"MINGZHOU, Zhou",CHN,6-2 6-1,China Junior 15,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Guangzhou, China, P.R.",18 Sep - 22 Sep 2018,Singles,Grade 3,Entry: DA,Hard,O,100278910,100286889
1.0,QF,W,"LIN, Han-Chih",TPE,6-3 4-1 RET,China Junior 15,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Guangzhou, China, P.R.",18 Sep - 22 Sep 2018,Singles,Grade 3,Entry: DA,Hard,O,100278892,100286889
1.0,SF,,"HAN, Seon Yong",KOR,,China Junior 15,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Guangzhou, China, P.R.",18 Sep - 22 Sep 2018,Singles,Grade 3,Entry: DA,Hard,O,100263128,100286889
2.0,32,W,"HIRANO, Taiyo",JPN,6-1 6-1,2018 Hyogo International Junior Tournament 2,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Hyogo, Japan",05 Sep - 09 Sep 2018,Singles,Grade 4,Entry: DA,Hard,I,100235309,100286889
2.0,16,L,"ISOMURA, KOKORO",JPN,6-3 4-6 1-6,2018 Hyogo International Junior Tournament 2,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Hyogo, Japan",05 Sep - 09 Sep 2018,Singles,Grade 4,Entry: DA,Hard,I,100326488,100286889
3.0,32,W,"KOSHIBA, Ryotaro",JPN,6-0 6-1,2018 Hyogo International Junior Tournament 1,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Hyogo, Japan",29 Aug - 02 Sep 2018,Singles,Grade 4,Entry: DA,Hard,I,100268398,100286889
3.0,16,L,"HIRANO, Taiyo",JPN,1-6 6-2 6-7(5),2018 Hyogo International Junior Tournament 1,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Hyogo, Japan",29 Aug - 02 Sep 2018,Singles,Grade 4,Entry: DA,Hard,I,100235309,100286889
4.0,32,W,"SIDANA, Jaishvin",IND,6-3 6-3,Speaker Cup International Junior Championships 2018 (Week 1),"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Changhua County, Chinese Taipei",05 Jun - 10 Jun 2018,Singles,Grade 4,Entry: DA,Clay,O,100284956,100286889
4.0,16,W,"DAVIS, George",GBR,6-2 7-6(3),Speaker Cup International Junior Championships 2018 (Week 1),"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Changhua County, Chinese Taipei",05 Jun - 10 Jun 2018,Singles,Grade 4,Entry: DA,Clay,O,100214783,100286889
4.0,QF,W,"VANSHELBOIM, Eric",UKR,6-4 6-2,Speaker Cup International Junior Championships 2018 (Week 1),"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Changhua County, Chinese Taipei",05 Jun - 10 Jun 2018,Singles,Grade 4,Entry: DA,Clay,O,100209981,100286889
4.0,SF,L,"TSAI, Chang-Lin",TPE,4-6 6-3 6-7(4),Speaker Cup International Junior Championships 2018 (Week 1),"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Changhua County, Chinese Taipei",05 Jun - 10 Jun 2018,Singles,Grade 4,Entry: DA,Clay,O,100301913,100286889
5.0,32,W,"LO, Yi Jui",TPE,6-2 5-7 6-2,Nan Ying Cup International Junior Championships 2018,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Tainan, Chinese Taipei",29 May - 03 Jun 2018,Singles,Grade 2,Entry: DA,Clay,O,100278894,100286889
5.0,16,W,"JEONG, Yeongseok",KOR,7-5 7-5,Nan Ying Cup International Junior Championships 2018,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Tainan, Chinese Taipei",29 May - 03 Jun 2018,Singles,Grade 2,Entry: DA,Clay,O,100263129,100286889
5.0,QF,L,"PANTINO, Arthur Craig",PHI,6-2 6-7(3) 5-7,Nan Ying Cup International Junior Championships 2018,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Tainan, Chinese Taipei",29 May - 03 Jun 2018,Singles,Grade 2,Entry: DA,Clay,O,100279540,100286889
6.0,32,W,"SACH, Tai",AUS,6-3 6-0,NZ ITF Summer Championships 2018,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Auckland, New Zealand",06 Feb - 10 Feb 2018,Singles,Grade 3,Entry: DA,Hard,O,100329695,100286889
6.0,16,W,"FALCK, Reece",NZL,6-1 6-0,NZ ITF Summer Championships 2018,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Auckland, New Zealand",06 Feb - 10 Feb 2018,Singles,Grade 3,Entry: DA,Hard,O,100322145,100286889
6.0,QF,W,"BECROFT, Isaac",NZL,6-2 6-3,NZ ITF Summer Championships 2018,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Auckland, New Zealand",06 Feb - 10 Feb 2018,Singles,Grade 3,Entry: DA,Hard,O,100273957,100286889
6.0,SF,L,"MATSUSHITA, Ryoma",JPN,3-6 4-6,NZ ITF Summer Championships 2018,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Auckland, New Zealand",06 Feb - 10 Feb 2018,Singles,Grade 3,Entry: DA,Hard,O,100279062,100286889
7.0,64,W,"BEAMISH , Nick",NZL,6-1 6-1,Wilson Tennis Canterbury ITF,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Christchurch, New Zealand",29 Jan - 03 Feb 2018,Singles,Grade 4,Entry: DA,Hard,O,100310532,100286889
7.0,32,W,"HOOLE, Casey",AUS,6-2 6-2,Wilson Tennis Canterbury ITF,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Christchurch, New Zealand",29 Jan - 03 Feb 2018,Singles,Grade 4,Entry: DA,Hard,O,100285272,100286889
7.0,16,W,"SORMAZ, Stefan",AUS,6-0 6-0,Wilson Tennis Canterbury ITF,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Christchurch, New Zealand",29 Jan - 03 Feb 2018,Singles,Grade 4,Entry: DA,Hard,O,100285769,100286889
7.0,QF,W,"KOTAN, Patrick",AUS,4-6 7-6(5) 6-1,Wilson Tennis Canterbury ITF,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Christchurch, New Zealand",29 Jan - 03 Feb 2018,Singles,Grade 4,Entry: DA,Hard,O,100333432,100286889
7.0,SF,W,"MATSUSHITA, Ryoma",JPN,6-3 6-4,Wilson Tennis Canterbury ITF,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Christchurch, New Zealand",29 Jan - 03 Feb 2018,Singles,Grade 4,Entry: DA,Hard,O,100279062,100286889
7.0,FR,W,"SAKAGAWA, Hiroki",JPN,6-7(8) 6-4 6-4,Wilson Tennis Canterbury ITF,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Christchurch, New Zealand",29 Jan - 03 Feb 2018,Singles,Grade 4,Entry: DA,Hard,O,100285673,100286889
8.0,64,W,"ARBUCKLE, Hamish",NZL,6-0 6-1,2018 Tecnifibre Tennis Central Championships,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Wellington, New Zealand",22 Jan - 27 Jan 2018,Singles,Grade 4,Entry: WC,Hard,O,100348825,100286889
8.0,32,W,"LI, Yukimaro",AUS,6-2 3-6 6-3,2018 Tecnifibre Tennis Central Championships,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Wellington, New Zealand",22 Jan - 27 Jan 2018,Singles,Grade 4,Entry: WC,Hard,O,100312490,100286889
8.0,16,L,"CLARKE, Corey",AUS,3-6 6-1 4-6,2018 Tecnifibre Tennis Central Championships,"IKEDA, Tomoya",JPN,IKEDA,Tomoya,"Wellington, New Zealand",22 Jan - 27 Jan 2018,Singles,Grade 4,Entry: WC,Hard,O,100332640,100286889
