eventNumber,eventRound,eventResults,eventOpponent,eventOpponentCountry,eventScore,eventName,playerName,playerCountry,playerLast,playerFirst,eventVenue,eventDates,eventCategory,eventGrade,eventEntry,eventSurface,eventIndoorOutdoor,eventOpponentID,player_ID
1.0,64,W,"KITTAY, Benjamin",USA,6-3 6-3,Campeonato Internacional Juvenil de Tenis de Porto Alegre			,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Porto Alegre, Brazil",26 Feb - 04 Mar 2018,Singles,Grade A,Entry: DA,Clay,O,100340957,100238785
1.0,32,L,"PUCINELLI DE ALMEIDA, Matheus",BRA,6-7(2) 0-6,Campeonato Internacional Juvenil de Tenis de Porto Alegre			,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Porto Alegre, Brazil",26 Feb - 04 Mar 2018,Singles,Grade A,Entry: DA,Clay,O,100248937,100238785
2.0,64,W,"RODRIGUES, Natan",BRA,5-7 6-0 6-4,Banana Bowl,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Criciúma, Brazil",19 Feb - 24 Feb 2018,Singles,Grade 1,Entry: DA,Clay,O,100312706,100238785
2.0,32,L,"DIAZ ACOSTA, Facundo",ARG,4-6 2-6,Banana Bowl,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Criciúma, Brazil",19 Feb - 24 Feb 2018,Singles,Grade 1,Entry: DA,Clay,O,100329088,100238785
3.0,Q1,L,"SHIRAISHI, Hikaru",JPN,6-2 4-6 1-6,Australian Open Junior Championships,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Melbourne, Australia",17 Jan - 18 Jan 2018,Singles,Grade A,Entry: DA,Hard,O,100262589,100238785
5.0,32,W,"BLEKHER, Gleb",CAN,6-2 6-4,Marshall Open in Honour of Dudi Sela,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Kiryat Shmona, Israel",20 Nov - 25 Nov 2017,Singles,Grade 3,Entry: DA,Hard,O,100271712,100238785
5.0,16,W,"ONCLIN, Gauthier",BEL,6-1 6-1,Marshall Open in Honour of Dudi Sela,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Kiryat Shmona, Israel",20 Nov - 25 Nov 2017,Singles,Grade 3,Entry: DA,Hard,O,100226793,100238785
5.0,QF,W,"CAZAUX, Arthur",FRA,6-3 6-1,Marshall Open in Honour of Dudi Sela,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Kiryat Shmona, Israel",20 Nov - 25 Nov 2017,Singles,Grade 3,Entry: DA,Hard,O,100254266,100238785
5.0,SF,W,"NEOS, Eleftherios",CYP,7-6(1) 6-1,Marshall Open in Honour of Dudi Sela,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Kiryat Shmona, Israel",20 Nov - 25 Nov 2017,Singles,Grade 3,Entry: DA,Hard,O,100198379,100238785
5.0,FR,L,"COLSON, Tibo",BEL,4-6 6-4 6-7(4),Marshall Open in Honour of Dudi Sela,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Kiryat Shmona, Israel",20 Nov - 25 Nov 2017,Singles,Grade 3,Entry: DA,Hard,O,100222312,100238785
6.0,32,W,"GINAT, Roi",ISR,6-1 6-3,HAP International Junior Tournament,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Haifa, Israel",13 Nov - 18 Nov 2017,Singles,Grade 2,Entry: DA,Hard,O,100255287,100238785
6.0,16,L,"EREL, Yanki",TUR,3-6 6-4 3-6,HAP International Junior Tournament,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Haifa, Israel",13 Nov - 18 Nov 2017,Singles,Grade 2,Entry: DA,Hard,O,100226750,100238785
7.0,32,W,"KOLASINSKI, Filip",POL,4-6 6-1 6-1,Matan Gafniel Raanana Open,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Raanana, Israel",06 Nov - 11 Nov 2017,Singles,Grade 2,Entry: DA,Hard,O,100214659,100238785
7.0,16,L,"WESTSTRATE, Lodewijk",NED,2-6 6-3 5-7,Matan Gafniel Raanana Open,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Raanana, Israel",06 Nov - 11 Nov 2017,Singles,Grade 2,Entry: DA,Hard,O,100238092,100238785
8.0,32,W,"LUMSDEN, Ewen",GBR,6-2 6-1,16º Torneo Internacional Junior de Sanxenxo - Fuente Liviana,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Sanxenxo, Spain",17 Oct - 22 Oct 2017,Singles,Grade 2,Entry: DA,Hard,O,100225297,100238785
8.0,16,W,"KALYANPUR, Adil",IND,6-4 4-6 6-4,16º Torneo Internacional Junior de Sanxenxo - Fuente Liviana,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Sanxenxo, Spain",17 Oct - 22 Oct 2017,Singles,Grade 2,Entry: DA,Hard,O,100207885,100238785
8.0,QF,L,"MAREK, Wojciech",POL,3-6 4-6,16º Torneo Internacional Junior de Sanxenxo - Fuente Liviana,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Sanxenxo, Spain",17 Oct - 22 Oct 2017,Singles,Grade 2,Entry: DA,Hard,O,100232838,100238785
9.0,32,L,"RODRIGUES, Daniel",POR,2-6 6-2 1-6,6º Torneo Internacional Junior de Pontevedra,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Pontevedra, Spain",10 Oct - 15 Oct 2017,Singles,Grade 2,Entry: DA,Hard,O,100203293,100238785
10.0,32,W,"FERRARI MACIEL, Pedro",BRA,6-1 6-1,Bahia Juniors Cup,"SCHMID, Aaron",SUI,SCHMID,Aaron,"Salvador, Brazil",25 Sep - 30 Sep 2017,Singles,Grade 3,Entry: DA,Hard,O,100310825,100238785
