Date,Open,High,Low,Close,Adj Close
1/3/2000,148.25,148.25,143.875,145.4375,102.930847
1/4/2000,143.531204,144.0625,139.640594,139.75,98.905685
1/5/2000,139.9375,141.531204,137.25,140,99.082603
1/6/2000,139.625,141.5,137.75,137.75,97.490211
1/7/2000,140.3125,145.75,140.0625,145.75,103.152069
1/10/2000,146.25,146.906204,145.031204,146.25,103.50592
1/11/2000,145.8125,146.093704,143.5,144.5,102.26741
1/12/2000,144.593704,144.593704,142.875,143.0625,101.249992
1/13/2000,144.468704,145.75,143.281204,145,102.621277
1/14/2000,146.531204,147.468704,145.968704,146.968704,104.014618
1/18/2000,145.343704,146.625,145.1875,145.8125,103.196297
1/19/2000,145.3125,147,145,147,104.036743
1/20/2000,146.968704,146.968704,143.8125,144.75,102.444359
1/21/2000,145.5,145.5,144.0625,144.4375,102.22316
1/24/2000,145.656204,145.843704,139.406204,140.343704,99.325836
1/25/2000,140.515594,141.9375,139,141.9375,100.453827
1/26/2000,141,141.546799,140.093704,140.8125,99.657616
1/27/2000,141.843704,142.218704,138.125,140.25,99.259514
1/28/2000,139.4375,140.0625,135.531204,135.875,96.1632
1/31/2000,135.8125,139.671799,135,139.5625,98.772964
2/1/2000,139.75,141.6875,138.531204,140.9375,99.746109
2/2/2000,141.281204,142.25,140.375,141.0625,99.834557
2/3/2000,140.875,143.25,140,143.1875,101.338516
2/4/2000,143.1875,144,142.125,142.593704,100.918213
2/7/2000,142.5625,142.781204,141.4375,142.375,100.763496
2/8/2000,143.968704,144.5625,143.625,144.3125,102.134705
2/9/2000,144.468704,144.468704,141.265594,141.281204,99.989304
2/10/2000,141.625,142.5625,140.875,141.5625,100.188385
2/11/2000,141.843704,141.9375,138.031204,138.6875,98.153679
2/14/2000,139.781204,139.781204,138.3125,139.5,98.728745
2/15/2000,139.25,141.218704,137.796799,141.078094,99.845627
2/16/2000,140.375,140.9375,138.796799,139,98.374817
2/17/2000,140.4375,140.4375,138.218704,138.281204,97.866142
2/18/2000,138.875,138.875,134.625,135.3125,95.765091
2/22/2000,135.1875,136.343704,133.531204,134.968704,95.521736
2/23/2000,135.625,137.468704,134.5,136.5625,96.649811
2/24/2000,136.6875,137.031204,133.093704,133.8125,94.703506
2/25/2000,135.1875,136.718704,133.125,133.328094,94.36068
2/28/2000,133.375,136.6875,132.718704,136.125,96.340118
2/29/2000,136.0625,137.4375,135.75,137.4375,97.269043
3/1/2000,137.625,139,137.218704,138.4375,97.976784
3/2/2000,138.6875,139.125,137.343704,138.531204,98.043098
3/3/2000,140.4375,141.718704,139.718704,141.125,99.878784
3/6/2000,140.8125,141.343704,138.75,139.75,98.905685
3/7/2000,140,140.156204,135.218704,137.046799,96.992523
